step,0numUD,0ave_vUD,0numRL,0ave_vRL,1numUD,1ave_vUD,1numRL,1ave_vRL,2numUD,2ave_vUD,2numRL,2ave_vRL,3numUD,3ave_vUD,3numRL,3ave_vRL,4numUD,4ave_vUD,4numRL,4ave_vRL,5numUD,5ave_vUD,5numRL,5ave_vRL
0,9,0.0,5,0.0,14,0.0,13,0.0,12,0.0,11,0.0,11,0.0,12,0.0,7,0.0,21,0.0,17,0.0,6,0.0
1,8,1.0,0,0.0,14,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,7,1.0,0,0.0,16,1.0,0,0.0
2,8,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,7,1.0,0,0.0,16,1.0,0,0.0
3,8,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,7,1.0,0,0.0,16,1.0,0,0.0
4,8,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0
5,7,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0
6,7,1.0,0,0.0,12,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0
7,7,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0
8,7,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0
9,7,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0
10,6,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0
11,6,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0
12,6,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,13,1.0,0,0.0
13,6,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0
14,5,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0
15,5,1.0,0,0.0,10,1.0,0,0.0,11,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0
16,5,1.0,0,0.0,10,1.0,0,0.0,11,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0
17,5,1.0,0,0.0,10,1.0,0,0.0,11,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,12,1.0,0,0.0
18,5,1.0,0,0.0,10,1.0,0,0.0,11,1.0,0,0.0,8,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0
19,5,1.0,0,0.0,10,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0
20,5,1.0,0,0.0,9,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0
21,5,1.0,0,0.0,9,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,11,1.0,0,0.0
22,5,1.0,0,0.0,9,1.0,0,0.0,10,1.0,0,0.0,7,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0
23,5,1.0,0,0.0,9,1.0,0,0.0,10,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0
24,5,1.0,0,0.0,8,1.0,0,0.0,9,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0
25,5,1.0,0,0.0,8,1.0,0,0.0,9,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0
26,4,1.0,0,0.0,8,1.0,0,0.0,9,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,10,1.0,0,0.0
27,4,1.0,0,0.0,8,1.0,0,0.0,9,1.0,0,0.0,6,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0
28,4,1.0,0,0.0,8,1.0,0,0.0,9,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0
29,4,1.0,0,0.0,7,1.0,0,0.0,8,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0
30,4,1.0,0,0.0,7,1.0,0,0.0,8,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0
31,3,1.0,0,0.0,7,1.0,0,0.0,8,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,9,1.0,0,0.0
32,3,1.0,0,0.0,7,1.0,0,0.0,8,1.0,0,0.0,5,1.0,0,0.0,2,1.0,0,0.0,9,1.0,0,0.0
33,3,1.0,0,0.0,6,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,2,1.0,0,0.0,9,1.0,0,0.0
34,3,1.0,0,0.0,6,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,2,1.0,0,0.0,9,1.0,0,0.0
35,3,1.0,0,0.0,6,1.0,0,0.0,7,1.0,0,0.0,4,1.0,0,0.0,2,1.0,0,0.0,9,1.0,0,0.0
36,3,1.0,0,0.0,6,1.0,0,0.0,7,1.0,0,0.0,4,1.0,0,0.0,1,1.0,0,0.0,8,1.0,0,0.0
37,3,1.0,0,0.0,6,1.0,0,0.0,7,1.0,0,0.0,4,1.0,0,0.0,1,1.0,0,0.0,8,1.0,0,0.0
38,2,1.0,0,0.0,5,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,1,1.0,0,0.0,8,1.0,0,0.0
39,2,1.0,0,0.0,5,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,1,1.0,0,0.0,8,1.0,0,0.0
40,2,1.0,0,0.0,5,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,1,1.0,0,0.0,7,1.0,0,0.0
41,2,1.0,0,0.0,5,1.0,0,0.0,6,1.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0
42,2,1.0,0,0.0,5,1.0,0,0.0,6,1.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0
43,2,1.0,0,0.0,4,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0
44,1,1.0,0,0.0,4,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0
45,1,1.0,0,0.0,4,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0
46,1,1.0,0,0.0,4,1.0,0,0.0,5,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0
47,1,1.0,0,0.0,4,1.0,0,0.0,4,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0
48,1,1.0,0,0.0,3,1.0,0,0.0,4,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0
49,1,1.0,0,0.0,3,1.0,0,0.0,4,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0
