step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,14,11,17,14,12,11,11,13,9,14,6,8,15,9
1,14,11,16,14,12,11,11,12,9,14,6,8,15,9
2,14,11,16,14,12,10,11,12,9,13,6,8,15,9
3,14,12,16,14,12,10,12,12,9,13,6,8,14,9
4,14,12,16,14,12,10,12,12,10,13,6,8,14,10
5,13,12,15,14,12,10,12,11,10,13,6,8,14,10
6,13,12,15,14,12,10,12,11,10,13,6,9,14,10
7,13,12,15,15,12,10,12,11,10,13,7,9,14,10
8,13,12,15,15,13,10,12,11,11,12,7,9,13,10
9,12,13,15,15,13,10,12,11,11,12,7,9,13,10
10,12,13,14,15,13,10,12,10,11,12,7,10,13,10
11,12,13,14,16,13,10,12,10,11,12,7,10,13,10
12,12,13,14,16,13,10,13,10,12,12,8,10,12,10
13,11,14,14,16,13,10,13,10,12,11,8,10,12,10
14,11,14,13,16,13,10,13,9,12,11,8,10,12,10
15,11,14,13,17,13,10,13,9,12,11,8,11,12,10
16,11,14,13,17,13,10,14,9,13,11,9,11,12,10
17,11,14,13,17,13,10,14,9,13,10,9,11,11,10
18,10,14,13,17,13,10,14,9,13,10,9,11,11,10
19,10,14,12,17,13,10,14,8,13,10,9,12,11,10
20,10,14,12,18,13,10,14,8,13,10,9,12,11,10
21,10,14,12,18,13,9,14,8,14,10,10,12,11,10
22,9,14,12,18,13,9,14,8,14,9,10,12,10,10
23,9,14,12,18,13,9,14,7,14,9,10,12,10,10
24,9,14,11,18,13,9,14,7,14,9,10,13,10,10
25,9,15,11,19,13,9,14,7,15,9,11,13,10,10
26,9,15,11,19,13,8,14,7,15,9,11,13,9,10
27,8,15,11,19,14,8,14,7,15,8,11,13,9,10
28,8,15,10,19,14,8,14,6,15,8,11,13,9,10
29,8,15,10,20,14,8,14,6,15,8,11,14,9,10
30,8,16,10,20,14,8,14,6,16,8,12,14,9,10
31,7,16,10,20,14,7,14,6,16,8,12,14,8,10
32,7,16,10,20,15,7,14,5,16,7,12,14,8,10
33,7,16,9,20,15,7,14,5,16,7,12,15,8,10
34,7,17,9,20,15,7,14,5,17,7,13,15,8,10
35,7,17,9,21,15,6,15,5,17,7,13,15,8,10
36,6,17,9,21,15,6,15,5,17,7,13,15,7,10
37,6,17,8,21,16,6,15,4,17,6,13,15,7,10
38,6,17,8,21,16,6,15,4,17,6,13,16,7,10
39,6,17,8,22,16,6,16,4,18,6,14,16,7,10
40,5,17,8,22,16,5,16,4,18,6,14,16,6,10
41,5,17,8,22,16,5,16,4,18,5,14,16,6,10
42,5,17,7,22,17,5,16,3,18,5,14,17,6,10
43,5,17,7,22,17,5,16,3,18,5,15,17,6,10
44,5,17,7,22,17,5,17,3,19,5,15,17,6,10
45,4,17,7,23,17,4,17,3,19,5,15,17,5,10
46,4,17,6,23,18,4,17,2,19,4,15,17,5,10
47,4,17,6,23,18,4,17,2,19,4,15,18,5,10
48,4,17,6,23,18,4,17,2,20,4,16,18,5,10
49,3,17,6,24,18,4,17,2,20,4,16,18,4,10
50,3,17,6,24,18,3,17,2,20,4,16,18,4,10
51,3,17,5,24,19,3,17,1,20,3,16,18,4,10
52,3,17,5,24,19,3,17,1,20,3,16,19,4,10
53,3,18,5,24,19,3,17,1,21,3,17,19,4,10
54,2,18,5,24,19,2,17,1,21,3,17,19,3,10
55,2,18,5,24,19,2,17,0,21,3,17,19,3,10
56,2,18,4,25,20,2,17,0,21,2,17,20,3,10
57,2,19,4,25,20,2,17,0,21,2,18,20,3,10
58,2,19,4,25,20,2,17,0,22,2,18,20,3,10
59,1,19,4,25,20,1,17,0,22,2,18,20,2,10
60,1,19,3,25,21,1,17,0,22,1,18,20,2,10
61,1,19,3,27,21,1,17,0,22,1,18,21,2,10
62,1,20,3,27,21,1,18,0,23,1,19,21,2,10
63,0,20,3,27,21,0,18,0,23,1,19,21,1,10
64,0,20,3,27,21,0,18,0,23,1,19,21,1,10
65,0,20,2,27,22,0,18,0,23,0,19,22,1,10
66,0,20,2,27,22,0,18,0,23,0,19,22,1,10
67,0,20,2,27,22,0,19,0,24,0,19,22,1,10
68,0,20,2,27,22,0,19,0,24,0,19,22,0,10
69,0,20,1,27,22,0,19,0,24,0,19,22,0,10
70,0,20,1,27,23,0,19,0,24,0,19,23,0,10
71,0,20,1,27,23,0,19,0,24,0,19,23,0,10
72,0,20,1,27,23,0,19,0,24,0,19,23,0,10
73,0,20,1,27,23,0,19,0,24,0,19,23,0,10
74,0,20,0,27,23,0,19,0,24,0,19,23,0,10
75,0,21,0,27,23,0,19,0,24,0,19,23,0,10
76,0,21,0,27,23,0,20,0,24,0,19,23,0,10
77,0,21,0,27,23,0,20,0,24,0,19,23,0,10
78,0,21,0,28,23,0,20,0,24,0,19,23,0,10
79,0,21,0,28,23,0,20,0,24,0,19,23,0,10
80,0,21,0,28,23,0,20,0,24,0,19,23,0,10
81,0,21,0,28,23,0,20,0,24,0,19,23,0,10
82,0,21,0,28,23,0,20,0,24,0,19,23,0,10
83,0,21,0,28,23,0,20,0,24,0,19,23,0,10
84,0,21,0,28,23,0,20,0,24,0,19,23,0,10
85,0,21,0,28,23,0,20,0,24,0,19,23,0,10
86,0,21,0,28,23,0,20,0,24,0,19,23,0,10
87,0,21,0,28,23,0,20,0,24,0,19,23,0,10
88,0,21,0,28,23,0,20,0,24,0,19,23,0,10
89,0,21,0,28,23,0,20,0,24,0,19,23,0,10
90,0,20,0,27,22,0,19,0,23,0,18,22,0,9
91,0,20,0,27,22,0,19,0,23,0,18,22,0,9
92,0,20,0,27,22,0,19,0,23,0,18,22,0,9
93,1,20,1,27,22,0,18,0,22,0,18,21,1,9
94,1,20,1,26,21,0,19,0,22,0,17,21,1,8
95,1,20,1,26,21,0,19,0,22,0,17,21,1,8
96,2,20,2,26,21,0,18,0,21,0,17,21,2,8
97,2,20,2,26,21,1,18,1,21,0,17,20,2,8
98,2,20,2,25,20,1,19,1,21,0,17,20,2,7
99,2,20,2,25,20,1,19,1,21,0,17,20,2,7
100,2,20,2,25,20,1,18,1,20,0,17,20,2,7
101,3,20,3,25,20,2,18,2,21,0,17,20,3,7
