step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,14,17,21,11,13,14,7,12,7,19,13,11,18,17
1,14,17,21,11,13,13,7,12,7,19,13,11,17,17
2,14,17,21,11,13,13,7,12,7,18,13,11,17,17
3,14,17,21,11,13,13,7,11,7,18,13,11,17,17
4,14,17,20,11,13,13,7,11,8,18,13,11,17,17
5,14,17,20,11,13,12,7,11,8,18,13,11,16,17
6,14,17,20,11,13,12,7,11,8,18,13,12,16,17
7,14,17,20,11,14,12,7,11,8,17,13,12,16,17
8,14,17,19,11,14,12,7,11,8,17,13,12,16,17
9,14,17,19,11,14,11,7,10,9,17,14,12,15,18
10,13,18,19,11,14,11,8,10,9,17,14,13,15,18
11,13,18,19,11,15,11,8,10,9,17,14,13,15,18
12,13,18,19,12,15,11,8,10,9,16,14,13,15,18
13,13,18,18,12,15,10,8,10,10,16,14,13,14,18
14,13,18,18,12,15,10,8,9,10,16,14,13,14,18
15,12,18,18,12,15,10,8,9,10,16,14,14,14,18
16,12,18,18,12,16,10,8,9,10,15,15,14,14,18
17,12,18,17,13,16,10,8,9,10,15,15,14,14,18
18,12,18,17,13,16,9,8,9,11,15,15,14,13,19
19,12,19,17,13,16,9,8,8,11,15,15,14,13,19
20,11,19,17,13,17,9,8,8,11,15,16,15,13,19
21,11,19,17,13,17,9,8,8,11,14,16,16,13,19
22,11,19,16,14,17,8,8,8,11,14,16,16,12,19
23,11,20,16,14,17,8,8,7,11,14,16,16,12,19
24,10,20,16,14,17,8,9,7,11,14,16,16,12,19
25,10,20,16,14,18,8,9,7,11,13,17,16,12,19
26,10,20,15,15,18,8,9,7,11,13,17,16,12,19
27,10,20,15,15,18,7,9,7,12,13,17,16,11,20
28,10,20,15,15,18,7,9,7,12,13,17,16,11,20
29,9,20,15,15,19,7,9,7,12,13,17,18,11,20
30,9,20,15,15,19,7,9,6,12,12,18,18,11,20
31,9,20,14,16,19,6,9,6,12,12,18,18,10,20
32,9,21,14,16,19,6,9,6,13,12,18,18,10,20
33,8,21,14,16,19,6,9,6,13,12,18,18,10,20
34,8,21,14,16,20,6,9,6,13,11,18,18,10,20
35,8,21,13,16,20,6,9,5,13,11,18,18,10,20
36,8,21,13,17,20,5,9,5,14,11,19,18,9,20
37,8,22,13,17,20,5,10,5,14,11,19,18,9,20
38,7,22,13,17,20,5,10,5,14,11,19,20,9,20
39,7,22,13,17,21,5,10,5,14,10,19,20,9,20
40,7,22,12,18,21,4,10,4,14,10,19,20,8,20
41,7,22,12,18,21,4,10,4,15,10,20,20,8,20
42,7,22,12,18,21,4,11,4,15,10,20,20,8,20
43,6,22,12,18,21,4,11,4,15,9,20,20,8,20
44,6,22,11,18,22,4,11,4,15,9,20,20,8,20
45,6,22,11,19,22,3,11,3,15,9,20,20,7,20
46,6,22,11,19,22,3,11,3,15,9,21,20,7,20
47,5,22,11,19,22,3,11,3,15,9,21,21,7,20
48,5,22,11,19,23,3,11,3,15,8,21,22,7,20
49,5,22,10,20,23,2,11,2,15,8,21,22,6,20
50,5,23,10,20,23,2,11,2,16,8,21,22,6,21
51,5,23,10,20,23,2,11,2,16,8,22,22,6,21
52,4,23,10,20,23,2,11,2,16,8,22,22,6,21
53,4,23,9,20,24,2,11,2,16,7,22,22,6,21
54,4,23,9,21,24,1,11,1,16,7,22,22,5,21
55,4,24,9,21,24,1,11,1,16,7,22,22,5,21
56,3,24,9,21,24,1,11,1,16,7,23,23,5,21
57,3,24,9,21,24,1,11,1,16,6,23,23,5,21
58,3,24,8,22,25,0,11,1,16,6,23,24,4,21
59,3,24,8,22,25,0,11,0,17,6,23,24,4,22
60,3,25,8,22,25,0,12,0,17,6,24,24,4,22
61,2,25,8,22,25,0,12,0,17,6,24,24,4,22
62,2,25,8,22,25,0,12,0,17,5,24,24,4,22
63,2,25,7,23,26,0,12,0,17,5,24,24,3,22
64,2,25,7,23,26,0,12,0,17,5,24,24,3,22
65,2,25,7,23,26,0,13,0,17,5,25,24,3,22
66,1,25,7,23,26,0,13,0,17,4,25,25,3,22
67,1,25,6,23,26,0,13,0,17,4,25,25,2,22
68,1,25,6,24,26,0,13,0,18,4,25,25,2,23
69,1,25,6,24,27,0,14,0,18,4,25,25,2,23
70,0,25,6,24,27,0,14,0,18,4,25,26,2,23
71,0,25,6,24,27,0,14,0,18,3,25,26,2,23
72,0,25,5,25,27,0,14,0,18,3,25,26,1,23
73,0,25,5,25,27,0,14,0,19,3,25,26,1,23
74,0,25,5,25,27,0,14,0,19,3,25,26,1,23
75,0,25,5,25,27,0,14,0,19,2,25,27,1,23
76,0,25,4,25,27,0,14,0,19,2,25,27,1,23
77,0,25,4,25,27,0,14,0,19,2,25,27,0,23
78,0,26,4,25,27,0,14,0,20,2,25,27,0,23
79,0,26,4,25,27,0,14,0,20,2,25,28,0,23
80,0,26,4,25,27,0,14,0,20,1,25,28,0,23
81,0,26,3,25,27,0,14,0,20,1,25,28,0,23
82,0,26,3,25,27,0,14,0,20,1,25,28,0,23
83,0,27,3,25,27,0,14,0,20,1,25,28,0,23
84,0,27,3,25,27,0,14,0,20,1,25,28,0,23
85,0,27,3,25,27,0,14,0,20,0,25,28,0,23
86,0,27,2,25,27,0,14,0,20,0,25,28,0,24
87,0,28,2,25,27,0,14,0,21,0,25,28,0,24
88,0,28,2,25,27,0,15,0,21,0,25,28,0,24
89,0,28,2,25,27,0,15,0,21,0,25,28,0,24
90,0,27,2,24,26,0,14,0,20,0,24,28,0,23
91,0,27,2,24,26,0,14,0,20,0,24,28,0,23
92,0,27,2,24,26,0,14,0,20,0,24,28,0,23
93,1,27,2,23,26,0,13,0,19,1,24,28,1,23
94,1,27,2,23,25,0,13,0,20,1,23,27,1,22
95,1,27,2,23,25,0,13,0,20,1,23,27,1,22
96,2,27,2,22,25,0,12,0,19,2,23,27,2,22
97,2,27,3,22,25,1,12,1,19,2,23,27,2,22
98,2,26,3,22,24,1,12,1,20,2,22,26,2,22
99,2,26,3,22,24,1,12,1,20,2,22,26,2,22
100,2,26,3,22,24,1,11,1,19,2,22,26,2,22
101,3,26,3,22,24,2,12,2,19,3,22,26,3,22
102,3,26,4,21,24,2,12,2,19,3,21,25,3,21
103,3,26,4,21,23,2,12,2,19,3,21,25,3,21
104,3,26,4,21,23,2,11,2,19,3,21,25,3,21
105,4,26,4,21,23,3,11,3,18,4,21,25,4,21
106,4,26,5,20,23,3,11,3,18,4,21,25,4,21
107,4,25,5,20,22,3,11,3,18,4,20,24,4,20
108,4,25,5,20,22,3,11,3,18,4,20,24,4,20
109,5,25,5,20,22,3,10,3,17,4,20,24,5,20
110,5,25,6,20,22,4,10,4,17,5,20,24,5,20
111,5,24,6,19,22,4,10,4,17,5,20,24,5,20
112,5,24,6,19,22,4,10,4,17,5,19,23,5,20
113,5,24,6,19,22,4,9,4,16,5,19,23,5,20
114,6,24,7,19,22,5,9,5,16,6,19,23,6,20
115,6,24,7,18,21,5,9,5,16,6,19,23,6,20
116,6,23,7,18,21,5,9,5,17,6,19,23,6,19
117,6,23,7,18,21,5,9,5,17,6,18,22,6,19
118,6,23,7,18,21,5,8,5,16,6,18,22,6,19
119,7,23,8,18,21,6,8,6,16,7,18,22,7,19
120,7,22,8,18,21,6,8,6,16,7,18,22,7,18
121,7,22,8,18,21,6,8,6,17,7,18,22,7,18
122,7,22,8,18,21,6,7,6,16,7,17,21,7,18
123,8,22,8,18,21,7,7,7,16,8,17,21,8,18
124,8,22,9,17,20,7,7,7,16,8,17,21,8,18
125,8,21,9,17,20,7,7,7,16,8,17,21,8,17
126,8,21,9,17,20,7,7,7,17,8,17,21,8,18
127,8,21,9,17,20,7,6,7,16,8,16,20,8,18
128,9,21,10,17,20,8,6,8,16,9,16,20,9,18
129,9,20,10,17,20,8,6,8,16,9,16,20,9,17
130,9,20,10,17,20,8,6,8,16,9,16,20,9,17
131,9,20,10,17,20,8,5,8,15,9,15,19,9,18
132,10,20,10,17,20,9,5,9,15,9,15,19,10,18
133,10,20,11,17,20,9,5,9,15,10,15,19,10,18
134,10,19,11,16,19,9,5,9,15,10,15,19,10,17
135,10,19,11,16,19,9,5,9,15,10,15,18,10,17
136,10,19,11,16,19,9,4,9,14,10,15,18,10,18
137,11,19,12,16,19,10,4,10,14,11,14,18,11,18
138,11,19,12,16,19,10,5,10,14,11,14,18,11,17
139,11,19,12,15,18,10,5,10,14,11,14,17,11,17
140,11,19,12,15,18,10,4,10,13,11,14,17,11,17
141,12,19,12,15,18,11,4,11,13,11,14,17,12,17
142,12,19,13,15,18,11,4,11,13,12,14,17,12,17
143,12,18,13,14,17,11,4,11,14,12,13,17,12,16
144,12,18,13,14,17,11,4,11,14,12,13,16,12,16
145,12,18,13,14,17,11,3,11,13,12,13,16,12,16
146,13,18,13,14,17,12,3,12,13,13,13,16,13,16
147,13,18,14,14,17,12,3,12,13,13,13,16,13,15
148,13,18,14,13,16,12,3,12,14,13,12,15,13,15
149,13,18,14,13,16,12,3,12,14,13,12,15,13,15
150,13,18,14,13,16,12,2,12,13,13,12,15,13,15
151,14,18,15,13,16,13,2,13,13,14,12,15,14,15
152,14,17,15,13,16,13,2,13,13,14,11,15,14,14
153,14,18,15,13,16,13,2,13,14,14,11,15,14,14
154,14,18,15,12,15,13,1,13,13,14,11,14,14,14
155,15,18,15,12,15,14,1,14,13,14,11,14,15,14
156,15,18,16,12,15,14,1,14,13,15,11,14,15,14
157,15,17,16,12,15,14,1,14,13,15,10,14,15,13
158,15,17,16,12,15,14,2,14,13,15,10,14,15,13
159,15,17,16,11,14,14,2,14,12,15,10,14,15,13
160,16,17,17,11,14,15,2,15,12,16,10,14,16,13
161,16,16,17,11,14,15,2,15,12,16,9,13,16,13
162,16,16,17,11,14,15,2,15,12,16,9,13,16,13
163,16,16,17,11,14,15,2,15,11,16,9,13,16,13
