step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,18,12,11,14,15,23,14,15,14,22,11,11,15,11
1,17,12,11,14,15,23,14,14,14,22,11,11,15,11
2,17,12,11,14,15,23,14,14,14,22,11,11,14,11
3,17,12,11,15,15,23,14,14,14,22,11,11,14,11
4,16,13,11,15,15,22,15,14,14,21,11,12,14,11
5,16,13,10,15,15,22,15,13,14,21,11,12,13,11
6,16,13,10,15,15,22,15,13,14,21,11,12,13,11
7,16,13,10,15,15,22,15,13,14,21,12,12,13,11
8,15,14,10,15,15,21,16,13,14,21,12,12,13,11
9,15,14,9,15,15,21,16,13,14,21,12,12,12,11
10,15,14,9,15,16,21,16,12,14,20,12,12,12,12
11,15,14,9,16,16,21,16,12,14,20,12,13,12,12
12,15,14,9,16,16,21,17,12,15,20,13,13,12,12
13,15,14,9,16,16,20,17,12,15,20,13,13,12,12
14,15,14,8,16,16,20,17,11,15,20,13,13,11,12
15,15,14,8,16,17,20,17,11,15,19,13,13,11,12
16,14,14,8,17,17,20,17,11,15,19,14,14,11,12
17,14,14,8,17,17,19,18,11,15,19,14,14,11,12
18,14,14,8,17,17,19,18,11,15,19,14,15,10,12
19,14,14,7,17,18,19,18,10,15,18,14,15,10,12
20,14,15,7,18,18,19,18,10,15,18,14,15,10,12
21,14,15,7,18,18,19,19,10,16,18,15,15,10,13
22,14,15,7,18,18,18,19,10,16,18,15,15,10,13
23,14,15,6,18,18,18,19,9,16,18,15,15,9,13
24,13,15,6,18,19,18,19,9,16,17,15,15,9,13
25,13,15,6,18,19,18,19,9,16,17,16,16,9,13
26,13,15,6,19,19,17,19,9,16,17,16,16,9,13
27,13,15,6,19,19,17,19,9,16,17,16,17,8,13
28,13,15,5,19,20,17,20,8,16,16,16,17,8,13
29,12,15,5,19,20,17,20,8,16,16,16,17,8,13
30,12,15,5,19,20,17,20,8,17,16,17,17,8,14
31,12,15,5,20,20,16,20,8,17,16,17,17,8,14
32,12,15,5,20,20,16,20,7,17,16,17,17,7,14
33,12,15,4,20,21,16,20,7,17,15,17,17,7,14
34,11,16,4,20,21,16,20,7,17,15,18,18,7,14
35,11,16,4,20,21,16,20,7,18,15,18,18,7,14
36,11,16,4,21,21,15,20,7,18,15,18,18,6,14
37,11,16,3,21,22,15,20,6,18,14,18,18,6,14
38,11,16,3,21,22,15,20,6,18,14,18,19,6,14
39,10,17,3,21,22,15,20,6,19,14,19,19,6,14
40,10,17,3,21,22,14,21,6,19,14,19,19,6,14
41,10,17,3,22,22,14,21,5,19,14,19,19,5,14
42,10,17,2,22,23,14,21,5,19,13,19,19,5,14
43,9,17,2,22,23,14,21,5,19,13,20,19,5,14
44,9,17,2,22,23,14,21,5,20,13,20,20,5,14
45,9,17,2,22,23,13,21,5,20,13,20,20,5,14
46,9,17,2,23,23,13,21,4,20,12,20,20,4,14
47,9,17,1,23,24,13,21,4,20,12,20,20,4,14
48,8,18,1,23,24,13,21,4,20,12,21,21,4,14
49,8,18,1,23,24,12,21,4,21,12,21,22,4,14
50,8,18,1,24,24,12,21,4,21,12,21,22,3,14
