step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,12,12,10,11,11,23,9,9,11,14,11,12,22,13
1,12,12,10,11,11,22,9,9,11,14,11,12,21,13
2,12,12,9,11,11,22,9,9,11,14,11,12,21,13
3,12,13,9,11,11,22,9,8,11,14,11,12,21,14
4,12,13,9,11,11,22,9,8,11,14,11,13,20,14
5,12,13,9,11,11,21,10,8,11,13,11,13,20,14
6,12,13,8,11,11,21,10,8,11,13,11,13,20,14
7,11,13,8,11,12,21,10,7,11,13,11,13,20,14
8,11,13,8,11,12,21,10,7,11,13,11,14,20,14
9,11,13,8,12,12,20,11,7,11,13,12,14,19,14
10,11,13,7,12,12,20,11,7,11,12,12,14,19,14
11,11,13,7,12,13,20,11,7,11,12,12,14,19,14
12,11,13,7,12,13,20,11,7,11,12,12,14,19,15
13,11,13,7,12,13,20,11,6,11,12,12,14,19,15
14,11,13,6,12,13,19,12,6,11,12,13,14,18,15
15,11,13,6,12,13,19,12,6,11,11,13,15,18,15
16,11,13,6,12,14,19,12,6,11,11,13,15,18,16
17,11,13,6,12,14,19,12,6,11,11,13,16,18,16
18,10,13,6,12,14,18,12,6,11,11,13,16,17,16
19,10,13,5,12,14,18,12,6,11,10,14,16,17,16
20,10,14,5,13,15,18,12,6,11,10,14,16,17,16
21,10,14,5,13,15,18,12,6,11,10,14,16,17,17
22,10,14,5,13,15,18,12,6,11,10,14,16,17,17
23,9,14,5,13,15,17,12,6,11,10,14,16,16,17
24,9,14,5,13,15,17,12,6,11,9,14,16,16,17
25,9,15,5,14,16,17,12,6,11,9,14,16,16,17
26,9,15,5,14,16,17,12,6,11,9,14,16,16,18
27,9,15,5,14,16,16,12,6,11,9,14,17,15,18
28,8,15,5,14,16,16,12,6,11,8,14,17,15,18
29,8,15,5,14,17,16,12,6,11,8,14,17,15,18
30,8,15,5,15,17,16,12,6,11,8,14,17,15,19
31,8,15,4,15,17,16,12,5,11,8,14,17,15,19
32,8,15,4,15,17,15,12,5,11,8,14,17,14,19
33,8,15,4,15,17,15,13,5,11,7,14,18,14,19
34,8,15,4,15,18,15,13,5,11,7,14,18,14,19
35,8,15,4,15,18,15,13,5,11,7,14,18,14,20
36,7,15,3,15,18,15,13,5,11,7,14,18,13,20
37,7,15,3,15,18,14,13,4,11,6,15,19,13,20
38,7,15,3,16,18,14,13,4,11,6,15,19,13,20
39,7,15,3,16,19,14,13,4,11,6,15,19,13,20
40,7,15,3,16,19,14,13,4,11,6,15,19,13,21
41,6,15,2,16,19,13,13,4,11,6,15,19,12,21
42,6,16,2,16,19,13,13,3,11,5,15,20,12,21
43,6,16,2,17,20,13,13,3,11,5,16,20,12,21
44,6,16,2,17,20,13,13,3,12,5,16,20,12,22
45,6,16,2,17,20,13,13,3,12,5,16,20,12,22
46,5,16,2,17,20,12,13,3,12,4,16,20,11,22
47,5,17,2,17,20,12,13,2,12,4,16,21,11,22
48,5,17,2,18,21,12,13,2,12,4,17,22,11,22
49,5,17,2,18,21,12,13,2,12,4,17,22,11,22
50,5,17,1,18,21,11,13,2,12,4,17,22,10,22
51,4,17,1,18,21,11,13,2,12,3,17,22,10,22
52,4,17,1,18,22,11,13,1,12,3,17,22,10,23
53,4,17,1,19,22,11,13,1,12,3,17,22,10,23
54,4,17,1,19,22,11,13,1,12,3,18,22,10,23
55,4,17,0,19,22,10,13,1,12,2,18,22,9,23
56,3,18,0,19,22,10,13,1,12,2,18,23,9,23
57,3,18,0,19,23,10,13,0,12,2,18,23,9,24
58,3,18,0,20,23,10,13,0,12,2,18,23,9,24
59,3,18,0,20,23,9,13,0,12,2,19,24,8,24
60,3,18,0,20,23,9,13,0,12,1,19,24,8,24
61,2,19,0,20,24,9,13,0,12,1,19,24,8,24
62,2,19,0,20,24,9,13,0,12,1,19,24,8,25
63,2,19,0,21,24,9,13,0,12,1,20,24,8,25
64,2,19,0,21,24,8,13,0,12,0,20,24,7,25
65,1,19,0,21,24,8,13,0,12,0,20,24,7,25
66,1,19,0,21,25,8,13,0,12,0,20,25,7,26
67,1,19,0,22,25,8,13,0,12,0,20,25,7,26
68,1,19,0,22,25,8,13,0,12,0,20,25,6,26
69,1,19,0,22,25,7,13,0,12,0,20,25,6,26
70,0,19,0,22,25,7,13,0,12,0,20,26,6,26
71,0,19,0,22,26,7,13,0,12,0,20,26,6,27
72,0,19,0,23,26,7,13,0,12,0,20,26,6,27
73,0,19,0,23,26,6,13,0,12,0,20,26,5,27
74,0,19,0,23,26,6,13,0,12,0,20,26,5,27
75,0,19,0,23,27,6,13,0,12,0,20,26,5,27
76,0,19,0,23,27,6,13,0,12,0,20,27,5,27
77,0,19,0,23,27,6,13,0,12,0,20,27,5,27
78,0,19,0,23,27,5,13,0,12,0,20,27,4,27
79,0,19,0,23,27,5,13,0,12,0,20,27,4,27
80,0,19,0,23,28,5,13,0,12,0,20,27,4,27
81,0,19,0,23,28,5,13,0,12,0,20,28,4,27
82,0,19,0,23,28,4,13,0,12,0,20,28,3,27
83,0,19,0,23,28,4,13,0,12,0,20,28,3,27
84,0,19,0,23,28,4,13,0,12,0,20,28,3,27
85,0,19,0,23,28,4,13,0,12,0,20,28,3,27
86,0,19,0,23,28,4,13,0,12,0,20,28,3,27
87,0,19,0,23,29,3,13,0,12,0,20,28,3,27
88,0,19,0,23,29,3,13,0,12,0,20,28,3,27
89,0,19,0,23,29,3,13,0,12,0,20,28,3,27
90,0,18,0,22,28,3,12,0,11,0,19,27,3,27
91,0,18,0,22,28,3,12,0,11,0,19,28,3,27
92,0,18,0,22,28,3,12,0,11,0,19,28,3,26
93,1,18,1,22,28,3,12,0,10,0,19,27,4,26
94,1,17,1,21,27,3,12,0,10,0,18,27,4,27
95,1,17,1,21,27,3,12,0,10,0,18,27,4,27
96,2,17,1,21,27,3,12,0,9,0,18,27,4,27
97,2,17,1,21,27,3,12,1,10,1,18,26,5,27
98,2,16,1,20,26,3,11,1,10,1,17,26,5,27
99,2,16,1,20,27,4,11,1,10,1,17,26,5,27
100,2,16,2,20,27,4,11,1,9,2,17,26,5,26
101,3,16,2,20,27,4,11,2,9,2,17,25,6,26
102,3,16,2,20,27,4,11,2,9,2,17,25,6,26
103,3,16,2,19,26,4,11,2,9,2,17,25,6,26
104,3,16,3,19,26,4,11,2,8,2,17,25,6,26
105,4,16,3,19,26,4,11,3,8,3,16,25,7,26
106,4,16,3,19,26,4,10,3,8,3,16,25,7,25
107,4,16,3,18,25,5,11,3,8,3,16,25,7,25
108,4,16,4,18,25,5,11,3,8,3,16,25,7,25
109,5,16,4,18,25,5,11,3,7,3,16,25,7,26
110,5,16,4,18,25,5,10,4,7,4,15,24,8,25
111,5,15,4,17,25,5,10,4,7,4,15,24,8,25
112,5,16,5,17,24,5,10,4,7,4,15,24,8,25
113,5,16,5,17,25,6,10,4,6,4,15,24,8,25
114,6,16,5,17,25,6,10,5,7,4,15,24,9,24
115,6,16,5,17,25,6,10,5,7,4,14,23,9,24
116,6,15,5,16,24,6,10,5,7,4,14,23,9,24
117,6,15,6,16,24,7,10,5,7,4,14,23,9,24
118,6,15,6,16,24,7,10,5,6,4,14,23,9,24
119,7,15,6,16,24,7,9,6,7,5,14,24,10,23
120,7,15,6,15,24,7,10,6,7,5,13,23,10,23
121,7,15,6,15,23,8,10,6,7,5,13,23,10,23
122,7,15,7,15,23,8,10,6,6,5,13,23,10,23
123,8,15,7,15,23,8,10,7,6,6,13,23,11,22
124,8,15,7,15,23,8,9,7,7,6,13,23,11,23
125,8,15,7,14,22,8,9,7,7,6,12,22,11,23
126,8,15,8,14,22,9,9,7,7,6,12,22,11,23
127,8,15,8,14,22,9,9,7,6,6,12,22,11,23
128,9,15,8,14,22,9,8,8,6,7,12,22,12,22
129,9,14,8,13,22,9,8,8,7,7,11,21,12,23
130,9,14,8,13,21,10,8,8,7,7,11,21,12,23
131,9,14,8,13,21,10,8,8,6,7,11,21,12,23
132,10,14,8,13,21,10,8,9,6,7,11,21,13,22
133,10,14,8,13,21,10,8,9,6,8,11,21,13,22
134,10,14,8,12,20,10,8,9,7,8,10,20,13,22
135,10,14,8,12,20,11,8,9,7,8,10,20,13,23
136,10,14,8,12,20,11,8,9,6,8,10,20,13,23
137,11,14,8,12,20,11,7,10,6,9,10,20,14,22
138,11,13,8,11,20,11,7,10,7,9,10,19,14,22
139,11,14,8,11,19,12,7,10,7,9,10,19,14,22
140,11,14,8,11,19,12,7,10,7,9,9,19,14,22
141,12,14,9,11,19,12,7,11,7,10,9,19,15,21
142,12,14,9,11,19,12,6,11,7,10,9,18,15,21
143,12,14,9,10,19,12,6,11,7,10,9,18,15,21
144,12,14,9,10,18,13,6,11,7,10,9,18,15,21
145,12,14,9,10,18,13,6,11,7,10,9,18,15,21
146,12,14,9,10,18,13,5,12,8,10,9,18,16,20
147,12,13,9,10,18,13,6,12,8,10,9,17,16,20
148,12,13,9,9,17,14,6,12,7,10,9,17,16,20
149,12,13,9,9,17,14,6,12,7,10,9,17,16,21
150,12,13,10,9,17,14,6,12,7,10,9,17,17,20
151,13,13,10,9,17,14,6,13,7,11,8,16,17,20
152,13,12,10,8,17,14,6,13,7,11,8,16,17,20
153,13,12,10,8,17,15,5,13,7,11,8,16,17,20
154,13,12,10,8,17,15,5,13,7,12,8,16,17,20
155,13,12,10,8,16,15,5,14,8,12,8,16,17,19
156,13,12,10,8,16,15,6,14,8,12,8,15,18,19
157,13,11,10,7,16,15,6,14,8,12,8,15,18,19
158,13,11,10,7,16,16,6,14,8,12,8,15,18,19
159,13,11,10,7,16,16,5,14,8,13,8,15,18,19
160,13,11,10,7,15,16,5,15,9,13,8,15,18,18
161,13,10,10,7,15,16,6,15,9,13,8,14,18,18
162,13,10,10,6,15,17,6,15,9,13,8,14,19,18
163,13,10,11,6,15,17,6,15,9,14,8,14,19,18
164,13,10,11,6,14,17,6,16,9,14,7,14,19,17
165,13,10,11,6,14,17,6,16,9,14,7,14,19,17
166,13,9,11,6,14,17,6,16,9,14,7,13,19,17
167,13,9,11,5,14,18,6,16,9,14,7,13,19,17
168,14,10,11,5,14,18,6,16,9,15,7,13,19,17
169,14,10,12,5,13,18,6,17,9,15,7,13,20,16
170,14,9,12,5,13,18,6,17,8,15,7,12,20,17
171,14,9,12,4,13,19,7,17,8,15,7,12,20,17
172,14,9,12,4,13,19,6,17,8,15,7,12,20,17
173,15,10,13,4,12,19,6,17,8,15,6,12,20,16
174,15,10,13,4,12,19,6,18,8,16,6,11,20,16
175,15,9,13,3,12,19,6,18,8,16,6,11,21,16
176,15,9,13,3,12,20,6,18,7,16,6,11,21,16
177,15,9,14,3,11,20,6,18,7,16,6,11,21,16
178,15,9,14,3,11,20,6,19,7,17,6,11,21,15
179,16,9,14,3,11,20,6,19,7,17,6,10,21,15
180,16,8,14,2,11,20,6,19,7,17,6,10,21,15
181,16,8,14,2,11,21,6,19,6,17,6,10,21,15
182,16,9,15,2,11,21,6,19,6,18,6,10,21,15
183,16,9,15,2,10,21,6,20,6,18,6,9,21,14
184,17,8,15,1,10,21,5,20,6,18,6,9,21,14
185,17,8,15,1,10,22,5,20,6,18,6,9,21,14
186,17,8,16,1,10,22,5,20,5,19,6,9,21,14
187,17,8,16,1,9,22,5,21,5,19,5,9,22,13
188,17,8,16,1,9,22,5,21,5,19,5,9,22,13
189,18,7,16,1,9,22,5,21,5,19,5,9,22,13
190,17,7,17,1,9,22,5,20,5,19,5,9,21,14
191,17,8,17,1,9,22,5,20,5,19,5,9,21,14
192,17,8,16,2,9,22,5,21,5,19,5,10,21,14
