step,0numUD,0ave_vUD,0numRL,0ave_vRL,1numUD,1ave_vUD,1numRL,1ave_vRL,2numUD,2ave_vUD,2numRL,2ave_vRL,3numUD,3ave_vUD,3numRL,3ave_vRL,4numUD,4ave_vUD,4numRL,4ave_vRL,5numUD,5ave_vUD,5numRL,5ave_vRL
0,17,0.0,10,0.0,17,0.0,21,0.0,18,0.0,11,0.0,16,0.0,16,0.0,23,0.0,30,0.0,13,0.0,14,0.0
1,17,1.0,0,0.0,17,1.0,0,0.0,17,1.0,0,0.0,15,1.0,0,0.0,23,1.0,0,0.0,13,1.0,0,0.0
2,16,1.0,0,0.0,17,1.0,0,0.0,17,1.0,0,0.0,15,1.0,0,0.0,23,1.0,0,0.0,12,1.0,0,0.0
3,16,1.0,0,0.0,16,1.0,0,0.0,17,1.0,0,0.0,15,1.0,0,0.0,23,1.0,0,0.0,12,1.0,0,0.0
4,16,1.0,0,0.0,16,1.0,0,0.0,17,1.0,0,0.0,15,1.0,0,0.0,22,1.0,0,0.0,12,1.0,0,0.0
5,16,1.0,0,0.0,16,1.0,0,0.0,16,1.0,0,0.0,14,1.0,0,0.0,22,1.0,0,0.0,12,1.0,0,0.0
6,15,1.0,0,0.0,16,1.0,0,0.0,16,1.0,0,0.0,14,1.0,0,0.0,22,1.0,0,0.0,12,1.0,0,0.0
7,15,1.0,0,0.0,16,1.0,0,0.0,16,1.0,0,0.0,14,1.0,0,0.0,22,1.0,0,0.0,12,1.0,0,0.0
8,15,1.0,0,0.0,16,1.0,0,0.0,16,1.0,0,0.0,14,1.0,0,0.0,21,1.0,0,0.0,12,1.0,0,0.0
9,15,1.0,0,0.0,16,1.0,0,0.0,15,1.0,0,0.0,13,1.0,0,0.0,21,1.0,0,0.0,12,1.0,0,0.0
10,14,1.0,0,0.0,16,1.0,0,0.0,15,1.0,0,0.0,13,1.0,0,0.0,21,1.0,0,0.0,12,1.0,0,0.0
11,14,1.0,0,0.0,15,1.0,0,0.0,15,1.0,0,0.0,13,1.0,0,0.0,21,1.0,0,0.0,12,1.0,0,0.0
12,14,1.0,0,0.0,15,1.0,0,0.0,15,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0,12,1.0,0,0.0
13,14,1.0,0,0.0,15,1.0,0,0.0,15,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0,12,1.0,0,0.0
14,14,1.0,0,0.0,15,1.0,0,0.0,14,1.0,0,0.0,12,1.0,0,0.0,20,1.0,0,0.0,11,1.0,0,0.0
15,13,1.0,0,0.0,15,1.0,0,0.0,14,1.0,0,0.0,12,1.0,0,0.0,20,1.0,0,0.0,11,1.0,0,0.0
16,13,1.0,0,0.0,14,1.0,0,0.0,14,1.0,0,0.0,12,1.0,0,0.0,20,1.0,0,0.0,11,1.0,0,0.0
17,13,1.0,0,0.0,14,1.0,0,0.0,14,1.0,0,0.0,12,1.0,0,0.0,19,1.0,0,0.0,11,1.0,0,0.0
18,13,1.0,0,0.0,14,1.0,0,0.0,13,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0,11,1.0,0,0.0
19,12,1.0,0,0.0,14,1.0,0,0.0,13,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0,10,1.0,0,0.0
20,12,1.0,0,0.0,13,1.0,0,0.0,13,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0,10,1.0,0,0.0
21,12,1.0,0,0.0,13,1.0,0,0.0,13,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0,10,1.0,0,0.0
22,12,1.0,0,0.0,13,1.0,0,0.0,13,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0,10,1.0,0,0.0
23,11,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,18,1.0,0,0.0,10,1.0,0,0.0
24,11,1.0,0,0.0,13,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,18,1.0,0,0.0,10,1.0,0,0.0
25,11,1.0,0,0.0,12,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,18,1.0,0,0.0,10,1.0,0,0.0
26,11,1.0,0,0.0,12,1.0,0,0.0,12,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0,9,1.0,0,0.0
27,11,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0,9,1.0,0,0.0
28,10,1.0,0,0.0,12,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,17,1.0,0,0.0,9,1.0,0,0.0
29,10,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,17,1.0,0,0.0,9,1.0,0,0.0
30,10,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0,9,1.0,0,0.0
31,10,1.0,0,0.0,11,1.0,0,0.0,11,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0,9,1.0,0,0.0
32,9,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,8,1.0,0,0.0,16,1.0,0,0.0,9,1.0,0,0.0
33,9,1.0,0,0.0,11,1.0,0,0.0,10,1.0,0,0.0,8,1.0,0,0.0,16,1.0,0,0.0,9,1.0,0,0.0
34,9,1.0,0,0.0,10,1.0,0,0.0,10,1.0,0,0.0,8,1.0,0,0.0,16,1.0,0,0.0,9,1.0,0,0.0
35,9,1.0,0,0.0,10,1.0,0,0.0,10,1.0,0,0.0,8,1.0,0,0.0,15,1.0,0,0.0,9,1.0,0,0.0
36,9,1.0,0,0.0,10,1.0,0,0.0,9,1.0,0,0.0,8,1.0,0,0.0,15,1.0,0,0.0,9,1.0,0,0.0
37,8,1.0,0,0.0,10,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0,8,1.0,0,0.0
38,8,1.0,0,0.0,10,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,15,1.0,0,0.0,8,1.0,0,0.0
39,8,1.0,0,0.0,9,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0,8,1.0,0,0.0
40,8,1.0,0,0.0,9,1.0,0,0.0,9,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0,8,1.0,0,0.0
41,7,1.0,0,0.0,9,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,14,1.0,0,0.0,8,1.0,0,0.0
42,7,1.0,0,0.0,9,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,14,1.0,0,0.0,7,1.0,0,0.0
43,7,1.0,0,0.0,8,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,14,1.0,0,0.0,7,1.0,0,0.0
44,7,1.0,0,0.0,8,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0,7,1.0,0,0.0
45,7,1.0,0,0.0,8,1.0,0,0.0,8,1.0,0,0.0,6,1.0,0,0.0,13,1.0,0,0.0,7,1.0,0,0.0
46,6,1.0,0,0.0,8,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,13,1.0,0,0.0,7,1.0,0,0.0
47,6,1.0,0,0.0,8,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,13,1.0,0,0.0,6,1.0,0,0.0
48,6,1.0,0,0.0,7,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0,6,1.0,0,0.0
49,6,1.0,0,0.0,7,1.0,0,0.0,7,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0,6,1.0,0,0.0
50,6,1.0,0,0.0,7,1.0,0,0.0,6,1.0,0,0.0,5,1.0,0,0.0,12,1.0,0,0.0,6,1.0,0,0.0
51,5,1.0,0,0.0,7,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,12,1.0,0,0.0,6,1.0,0,0.0
52,5,1.0,0,0.0,6,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,12,1.0,0,0.0,5,1.0,0,0.0
53,5,1.0,0,0.0,6,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0,5,1.0,0,0.0
54,5,1.0,0,0.0,6,1.0,0,0.0,6,1.0,0,0.0,4,1.0,0,0.0,11,1.0,0,0.0,5,1.0,0,0.0
55,4,1.0,0,0.0,6,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,11,1.0,0,0.0,5,1.0,0,0.0
56,4,1.0,0,0.0,6,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,11,1.0,0,0.0,5,1.0,0,0.0
57,4,1.0,0,0.0,5,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,11,1.0,0,0.0,4,1.0,0,0.0
58,4,1.0,0,0.0,5,1.0,0,0.0,5,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0,4,1.0,0,0.0
59,4,1.0,0,0.0,5,1.0,0,0.0,4,1.0,0,0.0,3,1.0,0,0.0,10,1.0,0,0.0,4,1.0,0,0.0
60,3,1.0,0,0.0,5,1.0,0,0.0,4,1.0,0,0.0,2,1.0,0,0.0,10,1.0,0,0.0,4,1.0,0,0.0
