0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
350,212,209,633,112,183,634,353,210,422,353,184,184,630
644,757,757,70,1116,1044,70,648,752,247,645,1045,1049,69
1049,397,397,1717,696,730,1715,1053,393,1024,1054,729,735,1704
1485,466,465,2268,836,809,2267,1489,466,1273,1483,813,815,2249
1481,1758,1752,172,2456,2253,172,1491,1747,630,1481,2256,2260,170
1549,2317,2305,2182,594,853,2194,1559,2300,2677,1554,855,858,2183
1789,1205,1207,3285,618,1111,3279,1793,1197,2205,1788,1118,1116,3279
1852,1260,1258,3341,680,1208,3335,1860,1255,2226,1857,1213,1215,3335
1754,2903,2887,2509,714,1030,2514,1761,2897,3328,1758,1035,1035,2514
2356,682,680,3370,1409,1299,3364,2349,681,1821,2339,1303,1305,3364
3082,619,619,2381,2684,937,2372,3080,611,1651,3086,935,942,2380
2390,3189,3186,318,3026,1755,320,2407,3183,2374,2392,1740,1745,320
610,2631,2636,169,1857,2483,170,613,2635,1561,611,2470,2477,168
938,1376,1400,1352,345,512,1372,940,1361,1636,935,511,515,1391
1730,522,524,2594,984,937,2588,1723,521,1421,1718,943,946,2584
