0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
279,384,382,366,219,349,368,281,380,338,280,351,352,365
771,454,452,1248,184,206,1250,775,452,907,772,206,206,1240
893,682,683,1113,1092,1059,1114,897,677,927,895,1065,1066,1107
1327,1784,1772,369,1704,1113,369,1339,1772,1400,1332,1116,1119,368
1622,728,728,2564,1131,1100,2570,1627,725,1685,1626,1105,1112,2553
1991,2404,2400,495,2496,1578,500,2006,2390,1818,1989,1574,1582,498
2337,759,761,3196,1455,1155,3206,2354,757,1901,2355,1168,1168,3203
1653,2711,2702,2339,1397,2222,2341,1662,2699,2549,1659,2228,2230,2327
2231,1073,1072,3353,1722,1736,3347,2234,1067,2166,2228,1749,1754,3347
2234,1737,1731,3365,1098,1749,3359,2229,1731,2221,2223,1759,1762,3359
2531,1863,1857,3052,3025,2905,3057,2544,1856,2493,2535,2908,2901,3042
2601,2989,2999,3181,1825,2820,3187,2613,2980,2563,2610,2840,2835,3179
1852,3212,3218,2608,1649,2820,2613,1854,3219,2804,1846,2831,2818,2600
2096,1530,1521,3156,1014,1532,3150,2107,1523,2045,2106,1545,1544,3155
2496,2949,2957,3026,1812,2827,3019,2505,2950,2469,2498,2830,2827,3012
