0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
335,286,284,505,167,274,507,338,285,347,338,275,276,506
353,1037,1037,49,863,999,49,354,1028,587,353,1005,1007,49
956,1127,1125,92,1646,1444,92,968,1119,446,966,1447,1452,92
1457,618,618,1825,1260,1105,1824,1467,616,1118,1472,1104,1108,1809
693,2457,2454,141,1813,2235,141,702,2445,1464,700,2244,2249,138
1771,1636,1626,2800,497,773,2791,1777,1627,2380,1775,772,778,2780
2353,1066,1066,2639,2203,1911,2651,2360,1063,1634,2355,1921,1925,2636
1997,1885,1873,3242,587,899,3236,2006,1873,2820,2005,897,902,3242
2230,2128,2129,3290,1078,1840,3284,2239,2116,2420,2237,1843,1844,3286
3037,630,631,3337,2115,930,3331,3030,630,2117,3033,933,936,3330
1904,2047,2043,3201,861,1469,3198,1907,2041,2722,1903,1465,1472,3202
1734,2128,2146,152,2928,2625,152,1748,2120,874,1732,2614,2614,152
2622,495,497,2836,1806,794,2831,2616,492,1728,2611,794,796,2833
2294,389,391,2526,1480,593,2531,2288,384,1512,2294,593,598,2535
1151,1287,1281,2020,571,943,2019,1179,1302,1762,1190,945,947,2027
