0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
230,429,429,214,334,426,215,231,427,319,227,429,430,212
775,442,438,1108,358,284,1112,779,439,847,777,287,287,1104
1164,596,596,1661,561,417,1665,1171,591,1230,1171,415,418,1655
1465,841,839,2090,713,588,2092,1471,835,1571,1473,593,594,2075
1120,1995,1988,1036,1552,1867,1039,1130,1981,1578,1127,1872,1879,1031
1548,2124,2121,1124,2008,2329,1130,1559,2111,1361,1548,2345,2346,1124
1486,2588,2581,1447,1904,2403,1451,1492,2573,2031,1486,2409,2419,1440
2475,1166,1166,3320,1275,931,3314,2483,1161,2360,2483,936,937,3315
2469,1817,1815,3220,1820,2044,3220,2477,1806,2327,2473,2054,2053,3220
2616,2312,2309,1783,3253,2939,1791,2634,2299,1786,2635,2914,2929,1778
2647,2317,2312,1854,3296,3006,1856,2654,2309,1820,2644,2999,2998,1847
2325,1226,1223,3235,1156,902,3233,2341,1221,2375,2340,904,906,3246
2372,2055,2050,1590,2941,2658,1604,2385,2042,1553,2372,2663,2654,1595
2516,1637,1622,3181,1854,1944,3175,2503,1628,2190,2510,1974,1960,3178
1842,859,853,2399,955,687,2387,1840,858,1677,1817,688,689,2383
