0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
262,314,313,431,220,367,433,265,311,332,264,368,370,431
923,235,234,1117,579,316,1124,929,235,686,926,314,316,1112
747,948,948,1191,684,1149,1196,751,943,919,751,1154,1157,1188
1196,1362,1357,1850,462,570,1851,1201,1351,1901,1204,570,573,1839
1399,1659,1651,2236,528,664,2241,1405,1644,2351,1402,670,670,2231
2096,1899,1894,337,2910,2034,341,2106,1888,995,2088,2046,2049,337
2230,838,836,3111,1553,1203,3117,2247,836,2066,2242,1207,1212,3115
1898,2135,2119,3067,620,810,3056,1906,2124,3103,1908,812,815,3063
2618,642,642,3352,1674,872,3346,2619,639,2184,2614,866,875,3346
887,2177,2177,202,2377,3196,201,893,2173,674,883,3190,3186,200
3092,647,647,3136,2145,822,3130,3079,643,2003,3077,826,829,3129
2203,1778,1776,2395,2795,3111,2403,2221,1774,1661,2207,3110,3104,2385
2063,2140,2134,3007,794,1115,3000,2060,2137,2741,2056,1119,1120,2998
2578,599,597,2519,1807,760,2514,2570,598,1591,2570,761,766,2512
2277,547,550,2203,1627,674,2204,2264,545,1433,2266,680,682,2217
