0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
364,364,363,240,385,251,241,368,363,373,366,250,253,238
655,597,595,519,819,816,521,658,590,451,658,819,822,519
1004,859,857,827,1176,1126,830,1012,854,717,1007,1131,1137,827
1281,1154,1155,1015,1568,1562,1019,1285,1148,876,1282,1572,1572,1011
1350,1767,1765,778,1937,2137,778,1357,1759,974,1354,2143,2146,771
1493,1730,1726,1695,1961,2127,1698,1503,1722,1747,1506,2125,2138,1687
2442,2072,2062,1603,2492,1538,1616,2459,2063,2185,2454,1541,1547,1613
2399,1507,1502,3227,1192,912,3221,2409,1496,2602,2402,916,916,3219
1903,2689,2683,1209,2705,3170,1214,1913,2689,1524,1906,3182,3180,1206
1371,3110,3112,1173,2483,3246,1175,1375,3108,2145,1376,3243,3238,1167
1893,3135,3127,2295,2335,3121,2291,1900,3140,2727,1894,3138,3131,2273
2352,1416,1406,3184,1107,798,3185,2347,1406,2535,2343,803,800,3185
1465,2651,2658,1197,2569,3029,1201,1473,2652,1924,1466,3026,3020,1194
1932,2475,2495,2162,2738,3168,2161,1947,2470,2287,1942,3149,3156,2143
1869,798,792,2299,1074,613,2293,1863,795,1673,1856,620,620,2294
