0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
478,75,75,825,47,1,829,481,75,467,481,1,1,824
758,315,314,1221,327,456,1227,764,312,640,764,459,461,1218
1128,487,486,1787,445,675,1786,1133,485,906,1137,681,682,1775
106,2206,2201,164,1152,2224,165,106,2193,1176,106,2234,2238,165
214,2436,2433,343,1406,2611,345,216,2419,1350,214,2608,2621,341
1866,355,350,3334,222,10,3328,1870,351,2046,1866,10,10,3328
274,3124,3120,461,1526,2975,462,277,3106,1840,275,2985,2975,455
1718,1026,1022,3348,1169,1663,3341,1723,1023,2153,1723,1681,1681,3340
1880,305,304,3340,194,14,3334,1857,304,1959,1850,13,14,3331
1693,440,431,475,1518,50,482,1697,440,694,1712,50,50,480
153,2876,2882,236,1502,2868,236,154,2873,1604,152,2864,2859,233
978,918,917,267,1738,1776,267,979,915,178,971,1781,1780,265
828,441,441,1602,473,671,1599,829,439,1000,825,668,674,1591
2015,1078,1070,3105,1029,1594,3099,2014,1076,1600,1996,1597,1600,3095
425,296,293,876,266,418,872,421,295,593,421,405,418,862
