0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
507,155,155,456,371,133,458,512,155,335,512,133,133,455
882,730,726,345,919,376,346,888,721,727,885,376,379,346
960,1085,1079,1354,420,317,1358,966,1078,1576,965,318,318,1349
1051,1388,1393,288,1930,2095,288,1060,1381,442,1055,2100,2105,286
574,2185,2183,418,1753,2485,419,578,2177,1287,575,2488,2499,418
641,2586,2578,453,1901,2771,457,645,2576,1501,643,2785,2787,453
1635,1976,1971,501,2852,2996,503,1646,1967,674,1638,3003,2996,500
748,2997,3005,502,2200,3196,502,755,2986,1752,752,3197,3196,498
1999,2596,2589,2125,2088,3138,2128,2011,2580,1645,2009,3144,3145,2114
2627,3168,3171,1274,2628,1324,1275,2645,3171,3104,2640,1327,1332,1272
3293,903,898,3057,2313,723,3071,3289,895,2239,3295,717,724,3065
2249,2718,2710,2395,2213,3281,2394,2259,2731,1770,2257,3288,3282,2378
690,2430,2430,480,1939,2739,483,698,2428,1417,697,2740,2735,477
2052,492,495,2615,975,348,2608,2049,490,1674,2035,351,351,2607
1527,786,782,2318,407,267,2321,1516,785,1709,1543,270,269,2331
