0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
84,579,577,65,334,547,66,85,576,344,84,550,552,66
264,1033,1031,299,592,1023,300,265,1026,631,265,1029,1031,299
264,1604,1604,168,1006,1705,168,265,1591,799,262,1708,1715,168
1028,1350,1347,239,1995,2169,240,1035,1343,361,1031,2176,2187,239
573,2293,2290,695,1392,2392,698,578,2276,1400,576,2398,2405,693
2035,1457,1455,974,2750,2324,978,2050,1455,802,2038,2326,2336,969
816,3019,3020,1027,1478,2522,1028,820,3012,2179,819,2528,2540,1021
2119,298,296,3369,591,184,3363,2113,296,1972,2109,184,185,3362
1974,549,544,3359,308,176,3353,1961,547,2062,1959,174,176,3351
589,2647,2651,517,2146,3271,520,591,2659,1439,592,3278,3272,513
1882,517,515,3216,272,152,3207,1864,517,1965,1860,151,152,3200
2062,961,950,3304,729,1058,3298,2060,959,1873,2048,1062,1067,3298
1095,1818,1817,1400,2051,2485,1401,1099,1810,1700,1106,2456,2468,1387
497,671,668,119,975,1097,120,500,688,181,492,1108,1107,120
132,167,165,145,225,229,153,132,167,178,131,249,237,153
