0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
375,439,438,66,492,307,67,379,439,312,377,308,308,67
745,421,416,1309,157,180,1313,750,418,949,752,183,183,1302
673,1211,1210,91,1506,1725,91,677,1207,398,673,1731,1735,91
1380,1752,1747,243,1829,1230,243,1387,1745,1211,1373,1236,1237,243
1787,579,578,2602,1171,914,2611,1798,575,1644,1794,921,922,2595
1515,2725,2722,321,2235,1703,323,1528,2722,2062,1519,1707,1709,322
1621,3051,3050,361,2312,1772,361,1636,3042,2322,1628,1771,1780,360
1986,1651,1646,2356,2549,2736,2372,2001,1647,1828,1998,2747,2751,2362
1747,3282,3288,376,2633,2017,381,1759,3279,2533,1745,2018,2028,377
2232,1105,1103,3356,1742,1873,3350,2235,1104,2093,2235,1883,1890,3350
1919,3256,3262,430,2807,2021,435,1929,3253,2547,1917,2007,2021,434
1711,986,986,3006,332,435,3011,1717,984,2174,1714,434,436,3014
2592,3018,3002,467,3397,2188,470,2605,3008,2098,2604,2170,2182,468
1912,1708,1701,3203,962,1684,3196,1927,1704,2249,1923,1686,1693,3201
1655,352,354,2257,920,587,2261,1649,351,1279,1656,592,594,2265
