0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
366,151,151,458,375,290,461,367,147,322,366,291,292,459
860,301,299,876,773,503,882,869,300,586,867,504,508,879
1311,294,292,1725,768,497,1724,1318,291,972,1314,496,499,1715
849,1587,1586,74,1923,2153,75,855,1577,565,852,2158,2168,75
1291,2488,2480,151,1951,1506,151,1300,2470,1776,1298,1505,1512,151
1572,1551,1545,2655,868,1507,2668,1576,1542,1979,1578,1518,1517,2650
2660,816,821,2776,2248,1424,2789,2672,815,1749,2663,1429,1434,2771
2104,2241,2240,2959,1033,1841,2961,2113,2229,2276,2108,1844,1850,2943
2628,1163,1162,3209,2561,2047,3214,2646,1160,2253,2641,2051,2060,3214
791,2707,2699,96,2367,3226,96,792,2719,1153,785,3230,3224,96
1244,2219,2233,88,2666,2988,89,1250,2210,748,1244,2980,2976,87
1480,1121,1112,2562,306,516,2560,1490,1114,1975,1490,517,519,2562
1946,3236,3242,237,2896,2106,237,1964,3235,2325,1959,2073,2097,237
1659,1145,1136,2821,319,515,2805,1649,1143,2116,1620,513,516,2792
2202,479,479,2215,1664,760,2219,2201,477,1406,2195,763,765,2222
