0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
63,441,439,84,435,772,84,64,439,118,64,774,777,82
528,657,654,825,475,481,829,529,652,944,528,483,485,823
778,1057,1051,1192,661,666,1195,781,1050,1460,783,669,671,1184
1856,913,906,1711,1118,289,1709,1865,908,1586,1862,286,289,1694
2281,941,938,2239,1279,320,2247,2297,933,1843,2292,321,322,2237
484,1821,1821,368,1864,3242,369,487,1815,306,484,3250,3244,366
1508,2143,2135,2291,1558,1585,2303,1513,2134,2885,1505,1586,1596,2290
1649,2384,2378,2425,1740,1763,2434,1656,2368,3127,1654,1772,1775,2436
2369,1998,1986,2827,1253,383,2836,2385,1986,3308,2372,387,387,2838
2564,1892,1878,2934,1416,409,2936,2571,1880,3243,2558,407,410,2938
294,1847,1852,363,1763,3174,364,298,1839,505,296,3165,3162,358
251,1504,1470,296,1470,2599,298,252,1528,395,251,2627,2614,296
2935,1185,1173,2628,1740,370,2622,2932,1175,2236,2938,372,372,2632
3127,1653,1652,2641,2209,1630,2637,3117,1645,1742,3123,1629,1634,2650
1788,1391,1383,2025,1011,317,2025,1790,1391,2310,1787,317,317,2018
