0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
173,478,478,67,436,542,68,177,476,262,175,546,549,68
647,642,635,1011,258,297,1015,651,637,961,653,298,298,1011
472,1471,1469,216,1148,1493,217,473,1465,859,471,1497,1500,213
569,1906,1905,249,1528,2000,251,573,1889,1102,567,2006,2008,249
683,2315,2312,317,1756,2341,320,688,2304,1346,684,2354,2359,319
1762,1628,1620,2428,1112,1673,2423,1772,1620,1705,1773,1678,1680,2405
1674,2185,2177,386,2913,2902,386,1682,2173,882,1669,2917,2908,386
828,3047,3048,375,2244,3112,379,835,3029,1719,829,3102,3111,374
1872,2629,2613,2864,1488,2340,2863,1881,2611,2752,1880,2344,2350,2864
1680,2372,2367,390,2963,3102,391,1690,2359,941,1680,3091,3089,389
3011,1649,1642,3255,2887,2606,3258,3017,1646,2164,3013,2622,2624,3256
2929,1442,1441,3346,2570,2251,3340,2921,1435,2141,2934,2277,2268,3340
918,2507,2513,345,2149,2691,346,924,2508,1394,922,2678,2682,344
2403,2318,2304,3304,1510,2301,3298,2416,2308,2404,2411,2287,2293,3297
1120,1589,1606,282,1931,2021,283,1114,1567,671,1112,2005,2013,282
