0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
220,305,303,356,324,386,356,220,302,379,219,389,391,355
820,526,524,1122,282,26,1124,826,524,1083,823,26,26,1117
1205,771,767,1035,1001,1056,1037,1212,765,532,1210,1065,1065,1032
1760,1373,1365,1316,1162,96,1319,1768,1362,1986,1766,97,96,1312
535,1660,1660,1018,1569,2640,1021,538,1654,1056,537,2652,2658,1013
2654,1668,1659,1819,1852,135,1823,2665,1657,2537,2659,136,136,1814
2728,2071,2054,1957,1822,124,1967,2742,2057,2978,2732,124,125,1959
3048,843,836,3278,1467,76,3270,3060,837,2460,3057,77,77,3272
3136,1530,1528,2676,2620,2282,2683,3147,1521,1380,3141,2298,2299,2672
3025,2406,2386,2268,1984,157,2279,3043,2410,3454,3033,157,157,2269
1482,2684,2680,2748,2300,3090,2750,1486,2688,3146,1488,3092,3095,2732
602,1958,1946,1085,1748,3033,1096,604,1963,1141,607,3042,3036,1082
3290,2008,1997,2178,2323,167,2188,3299,2007,3039,3305,169,170,2190
1533,2316,2305,2822,2135,2749,2816,1535,2324,2986,1536,2755,2763,2815
1443,2568,2569,2559,2227,2889,2552,1445,2580,3018,1439,2906,2900,2557
