0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
333,367,364,3,612,531,3,334,364,110,332,536,536,3
1033,86,86,1266,551,176,1271,1039,86,689,1040,176,176,1265
1198,381,383,1561,867,733,1566,1201,379,874,1202,737,739,1553
1285,1358,1357,9,2282,1955,9,1294,1354,391,1290,1955,1964,9
450,2678,2669,17,1548,2235,17,457,2662,1548,457,2229,2242,17
2690,307,306,2749,1887,606,2756,2708,305,1638,2705,609,612,2749
545,2863,2868,7,2130,3181,8,548,2847,1263,543,3185,3183,8
568,3292,3298,11,1963,2786,11,573,3289,1912,572,2786,2791,11
615,3296,3302,10,2019,2825,10,621,3293,1903,613,2815,2820,10
3129,955,958,3242,2777,1899,3236,3137,953,1938,3129,1910,1917,3236
2544,779,782,3369,1890,1606,3363,2554,777,1893,2544,1609,1610,3358
430,2510,2511,10,1804,2766,10,436,2515,1132,427,2770,2764,10
2610,278,280,2626,1749,537,2620,2598,275,1500,2597,535,539,2618
970,911,905,1779,354,661,1770,954,905,1400,948,656,664,1763
357,1880,1893,5,1283,1768,5,359,1877,1053,357,1739,1760,5
