0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
341,274,274,312,403,334,314,343,272,311,342,331,335,312
473,836,836,242,864,982,244,477,830,477,475,984,989,239
990,721,720,1484,609,773,1483,995,717,1042,995,775,776,1476
1183,1512,1511,1192,995,1199,1190,1186,1502,1306,1181,1208,1202,1186
1449,1855,1847,792,2024,1680,795,1462,1847,1527,1457,1682,1688,790
1200,2301,2298,638,2141,2614,639,1212,2287,1244,1209,2612,2620,636
2092,1690,1684,1934,2505,2121,1940,2106,1682,1902,2093,2123,2135,1930
1388,2739,2737,762,2524,3142,762,1399,2731,1477,1395,3149,3143,753
2585,1960,1962,2298,3010,2417,2309,2599,1950,2260,2592,2412,2426,2299
2287,1532,1526,3363,1272,1629,3357,2284,1529,2262,2281,1640,1645,3357
2367,2539,2549,1003,3343,2871,1008,2379,2521,1654,2361,2864,2864,1002
2183,1224,1218,3295,884,911,3288,2184,1219,2298,2174,908,912,3287
1285,2517,2517,715,2353,2930,717,1296,2522,1354,1288,2933,2927,711
2886,2327,2317,2670,3348,2831,2688,2907,2324,2632,2891,2822,2837,2674
1794,706,706,2583,992,798,2589,1790,704,1679,1801,802,803,2588
