0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
395,311,309,313,363,211,313,399,311,377,397,212,212,309
811,454,452,1012,455,301,1018,817,448,808,815,302,304,1015
838,894,894,1125,833,1024,1130,844,887,982,843,1025,1031,1122
1220,1340,1340,1041,1347,1466,1042,1229,1333,1024,1224,1469,1475,1034
1541,1387,1390,1764,1383,1623,1765,1555,1379,1351,1551,1628,1632,1759
2212,1660,1653,1789,2005,1211,1801,2223,1647,2020,2215,1216,1217,1793
2013,1846,1842,2298,1856,2202,2299,2027,1837,1764,2021,2211,2216,2286
2712,2154,2141,2183,2438,1547,2192,2722,2139,2497,2713,1547,1555,2184
1887,2572,2572,2058,2553,2896,2064,1898,2562,2391,1897,2889,2905,2051
2807,2106,2104,2927,2472,2560,2933,2820,2089,2116,2810,2580,2573,2925
2250,2571,2567,3024,2450,2974,3030,2264,2553,2809,2257,2978,2977,3025
1993,2728,2720,2252,2779,3225,2258,2000,2725,2531,1992,3225,3219,2241
2911,2373,2367,3172,2582,2920,3166,2926,2358,2280,2913,2923,2914,3164
2907,2820,2824,2401,2494,1753,2415,2915,2819,3049,2906,1749,1759,2414
2191,2039,2060,1818,1863,1305,1830,2168,2028,2240,2153,1299,1305,1834
