step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,14,8,13,7,8,18,11,14,15,19,15,15,12,11
1,14,8,12,7,8,18,11,14,15,18,15,15,12,11
2,14,8,12,7,8,18,11,13,15,18,15,15,12,11
3,14,8,12,7,8,18,11,13,15,18,15,15,12,12
4,14,8,12,7,8,18,11,13,15,18,15,15,12,12
5,13,9,11,7,8,18,11,13,15,17,15,15,12,12
6,13,9,11,7,8,18,11,12,15,17,15,15,12,12
7,13,9,11,7,8,17,11,12,15,17,15,15,12,12
8,13,9,11,8,8,17,11,12,15,17,15,15,11,13
9,13,10,10,8,8,17,11,12,15,16,15,15,11,13
10,12,10,10,8,8,17,11,12,15,16,15,16,11,13
11,12,10,10,8,8,16,11,11,15,16,15,16,11,13
12,12,10,10,9,8,16,11,11,15,16,16,16,10,14
13,12,10,9,9,9,16,11,11,15,16,16,16,10,14
14,11,11,9,9,9,16,11,11,15,15,16,17,10,14
15,11,11,9,9,9,16,11,10,15,15,16,17,10,14
16,11,11,9,9,9,15,11,10,15,15,16,17,10,14
17,11,11,9,10,9,15,11,10,15,15,16,17,10,15
18,11,12,8,10,10,15,11,10,15,14,16,17,10,15
19,10,12,8,10,10,15,11,10,15,14,16,17,10,15
20,10,12,8,10,10,14,11,10,15,14,16,17,10,15
21,10,12,8,11,10,14,11,10,15,14,17,17,10,16
22,10,12,7,11,11,14,11,9,15,14,17,17,9,16
23,9,13,7,11,11,14,11,9,15,13,17,17,9,16
24,9,13,7,11,11,14,11,9,15,13,17,18,9,16
25,9,13,7,11,11,13,11,9,15,13,17,18,9,16
26,9,13,7,12,11,13,11,9,15,13,18,18,9,17
27,9,14,6,12,12,13,11,8,15,12,18,18,9,17
28,8,14,6,12,12,13,11,8,15,12,18,18,9,17
29,8,14,6,12,12,12,11,8,15,12,18,18,9,17
30,8,14,6,13,12,12,11,8,15,12,18,18,9,17
31,8,14,5,13,13,12,11,8,15,12,19,18,9,18
32,7,15,5,13,13,12,11,7,15,11,19,18,9,18
33,7,15,5,13,13,12,11,7,15,11,19,18,9,18
34,7,15,5,13,13,11,11,7,15,11,19,18,8,18
35,7,15,5,14,13,11,11,7,15,11,19,18,8,19
36,7,16,4,14,14,11,11,7,15,10,20,19,8,19
37,6,16,4,14,14,11,11,6,15,10,20,19,8,19
38,6,16,4,14,14,11,11,6,16,10,20,19,8,19
39,6,16,4,15,14,10,11,6,16,10,20,19,8,19
40,6,16,3,15,15,10,11,6,16,10,20,19,7,20
41,6,17,3,15,15,10,11,6,16,9,21,19,7,20
42,5,17,3,15,15,10,12,5,16,9,21,20,7,20
43,5,17,3,15,15,9,12,5,16,9,21,20,7,20
44,5,17,3,16,15,9,12,5,16,9,21,20,7,20
45,5,17,2,16,16,9,12,5,16,8,21,20,6,20
46,4,18,2,16,16,9,12,5,16,8,22,20,6,20
47,4,18,2,16,16,9,12,4,16,8,22,21,6,21
48,4,18,2,17,16,8,12,4,16,8,22,21,6,21
49,4,18,1,17,16,8,12,4,16,8,22,21,6,21
50,4,18,1,17,17,8,12,4,16,7,22,21,5,21
51,3,19,1,17,17,8,12,4,16,7,23,21,5,22
52,3,19,1,17,17,7,12,3,17,7,23,22,5,22
53,3,19,1,18,17,7,12,3,17,7,23,22,5,22
54,3,19,0,18,18,7,12,3,17,6,23,22,4,22
55,2,19,0,18,18,7,12,3,17,6,23,22,4,22
56,2,20,0,18,18,7,13,3,18,6,24,22,4,22
57,2,20,0,19,18,6,13,2,18,6,24,23,4,22
58,2,20,0,19,18,6,13,2,18,6,24,23,4,22
59,2,20,0,19,19,6,13,2,18,5,24,23,3,22
60,1,20,0,19,19,6,13,2,18,5,24,23,3,22
61,1,20,0,19,19,6,13,2,19,5,25,24,3,22
62,1,20,0,20,19,5,13,1,19,5,25,24,3,22
63,1,20,0,20,20,5,13,1,19,4,25,24,3,22
64,0,20,0,20,20,5,13,1,19,4,25,24,2,22
65,0,20,0,20,20,5,13,1,19,4,25,24,2,22
66,0,20,0,20,20,4,13,1,19,4,25,25,2,22
67,0,20,0,21,20,4,13,1,19,4,26,25,2,22
68,0,20,0,21,21,4,13,0,19,3,26,25,2,22
69,0,20,0,21,21,4,13,0,19,3,26,25,1,23
70,0,20,0,21,21,4,13,0,19,3,26,25,1,23
71,0,20,0,21,21,3,13,0,19,3,26,26,1,23
72,0,20,0,21,21,3,13,0,19,3,26,26,1,23
73,0,20,0,21,22,3,13,0,19,2,27,26,0,23
74,0,20,0,21,22,3,13,0,19,2,27,26,0,24
75,0,20,0,21,22,2,13,0,19,2,27,26,0,24
76,0,20,0,21,22,2,13,0,19,2,27,27,0,24
77,0,20,0,21,23,2,13,0,19,1,27,27,0,24
78,0,20,0,21,23,2,13,0,19,1,27,27,0,24
79,0,20,0,21,23,2,13,0,19,1,27,27,0,25
80,0,20,0,21,23,1,13,0,19,1,27,27,0,25
81,0,20,0,21,23,1,13,0,19,1,27,27,0,25
82,0,20,0,21,24,1,13,0,19,0,28,27,0,25
83,0,20,0,21,24,1,13,0,19,0,28,27,0,25
84,0,20,0,21,24,0,13,0,19,0,28,27,0,26
85,0,20,0,21,24,0,13,0,19,0,28,27,0,26
86,0,20,0,21,25,0,13,0,19,0,28,27,0,26
87,0,20,0,21,25,0,13,0,19,0,28,27,0,26
88,0,20,0,21,25,0,13,0,19,0,28,27,0,27
89,0,20,0,21,25,0,13,0,19,0,28,27,0,27
90,0,19,0,20,24,0,12,0,18,0,27,26,0,26
91,0,19,0,20,25,0,12,0,18,0,27,26,0,26
92,0,19,0,20,25,0,12,0,18,0,27,26,0,26
93,1,19,0,20,25,0,11,0,17,0,28,26,1,26
94,1,18,0,19,24,0,12,0,18,0,27,25,1,26
95,1,18,0,19,24,0,12,0,18,0,27,25,1,26
96,2,18,0,19,24,0,11,0,17,0,27,25,2,26
97,2,18,0,19,24,1,11,1,17,1,27,25,2,26
98,2,18,0,18,23,1,11,1,18,1,26,24,2,25
99,2,18,0,18,23,1,11,1,18,1,26,24,2,26
100,2,18,0,18,23,1,10,1,17,2,26,24,2,26
101,3,18,0,18,23,2,10,2,17,2,26,24,3,26
102,3,17,1,17,23,2,10,2,17,2,26,23,3,25
103,3,18,1,17,23,2,10,2,17,2,25,23,3,25
104,3,18,1,17,22,2,9,2,16,2,25,23,3,26
105,4,18,1,17,22,3,9,3,16,3,25,23,4,26
106,4,18,2,16,22,3,10,3,16,3,25,23,4,26
107,4,17,2,16,22,3,10,3,16,3,25,22,4,25
108,4,17,2,16,21,3,10,3,16,3,25,22,4,25
109,5,17,2,16,21,3,9,3,15,4,24,22,5,25
110,5,17,2,15,21,4,9,4,15,4,24,22,5,25
111,5,16,2,15,21,4,9,4,16,4,24,22,5,24
112,5,16,2,15,21,4,9,4,16,4,24,21,5,24
113,5,16,3,15,21,4,8,4,15,4,24,21,5,24
114,6,16,3,15,21,5,8,5,15,5,23,21,6,24
115,6,16,3,14,20,5,8,5,15,5,23,21,6,24
116,6,15,3,14,20,5,8,5,16,5,23,21,6,23
117,6,15,4,14,20,5,8,5,16,5,23,20,6,23
118,6,15,4,14,20,5,7,5,15,6,22,20,6,23
119,7,16,4,14,20,6,7,6,15,6,22,20,7,23
120,7,15,4,13,19,6,7,6,15,6,22,20,7,22
121,7,15,5,13,19,6,7,6,16,6,22,20,7,22
122,7,15,5,13,19,6,6,6,15,6,21,19,7,23
