step,0numUD,0ave_vUD,0numRL,0ave_vRL,1numUD,1ave_vUD,1numRL,1ave_vRL,2numUD,2ave_vUD,2numRL,2ave_vRL,3numUD,3ave_vUD,3numRL,3ave_vRL,4numUD,4ave_vUD,4numRL,4ave_vRL,5numUD,5ave_vUD,5numRL,5ave_vRL
0,7,0.0,13,0.0,11,0.0,20,0.0,20,0.0,8,0.0,7,0.0,6,0.0,11,0.0,17,0.0,20,0.0,10,0.0
1,7,1.0,0,0.0,10,1.0,0,0.0,20,1.0,0,0.0,7,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0
2,7,1.0,0,0.0,10,1.0,0,0.0,20,1.0,0,0.0,7,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0
3,7,1.0,0,0.0,10,1.0,0,0.0,20,1.0,0,0.0,7,1.0,0,0.0,11,1.0,0,0.0,19,1.0,0,0.0
4,7,1.0,0,0.0,10,1.0,0,0.0,20,1.0,0,0.0,7,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
5,6,1.0,0,0.0,9,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
6,6,1.0,0,0.0,9,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
7,6,1.0,0,0.0,9,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
8,6,1.0,0,0.0,9,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,17,1.0,0,0.0
9,5,1.0,0,0.0,8,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
10,5,1.0,0,0.0,8,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
11,5,1.0,0,0.0,8,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
12,5,1.0,0,0.0,8,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,16,1.0,0,0.0
13,5,1.0,0,0.0,7,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,16,1.0,0,0.0
14,5,1.0,0,0.0,7,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
15,5,1.0,0,0.0,7,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
