step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,2,1,1,0,1,0,0,0,1,1,1,1,2,1
1,2,1,0,0,1,0,0,0,1,0,1,1,2,1
2,2,1,0,0,1,0,0,0,1,0,1,1,2,1
3,2,2,0,0,1,0,2,0,2,0,1,1,2,1
4,2,2,0,0,1,0,2,0,2,0,1,1,2,1
5,2,2,0,0,1,0,2,0,2,0,1,1,2,1
6,2,2,0,0,1,0,2,0,2,0,1,1,2,1
7,2,2,0,0,1,0,2,0,2,0,1,1,2,1
8,2,2,0,0,1,0,2,0,2,0,1,1,2,1
9,2,2,0,0,1,0,2,0,2,0,1,1,2,1
10,2,2,0,0,1,0,2,0,2,0,1,1,2,1
11,2,2,0,0,1,0,2,0,2,0,1,1,2,1
12,2,2,0,0,1,0,2,0,2,0,1,1,2,1
13,2,2,0,0,1,0,2,0,2,0,1,1,2,1
14,2,2,0,0,1,0,2,0,2,0,1,1,2,1
15,2,2,0,0,1,0,2,0,2,0,1,1,2,1
16,2,2,0,0,1,0,2,0,2,0,1,1,2,1
17,2,2,0,0,1,0,2,0,2,0,1,1,2,1
18,2,2,0,0,1,0,2,0,2,0,1,1,2,1
19,2,2,0,0,1,0,2,0,2,0,1,1,2,1
20,2,2,0,0,1,0,2,0,2,0,1,1,2,1
21,2,2,0,0,1,0,2,0,2,0,1,1,2,1
22,2,2,0,0,1,0,2,0,2,0,1,1,2,1
23,2,2,0,0,1,0,2,0,2,0,1,1,2,1
24,2,2,0,0,1,0,2,0,2,0,1,1,2,1
25,2,2,0,0,1,0,2,0,2,0,1,1,2,1
26,1,2,0,0,1,0,2,0,2,0,1,1,1,1
27,1,2,0,0,1,0,2,0,2,0,1,1,1,1
28,1,2,0,1,1,0,2,0,2,0,1,2,1,1
29,1,2,0,1,1,0,2,0,2,0,1,2,1,1
30,1,2,0,1,1,0,2,0,2,0,1,2,1,1
31,1,2,0,1,1,0,2,0,2,0,1,2,1,1
32,1,2,0,1,1,0,2,0,2,0,1,2,1,1
33,1,2,0,1,1,0,2,0,2,0,1,2,1,1
34,1,2,0,1,1,0,2,0,2,0,1,2,1,1
35,1,2,0,1,1,0,2,0,2,0,1,2,1,1
36,1,2,0,1,1,0,2,0,2,0,1,2,1,1
37,1,2,0,1,1,0,2,0,2,0,1,2,1,1
38,1,2,0,1,1,0,2,0,2,0,1,2,1,1
39,1,2,0,1,1,0,2,0,2,0,1,2,1,1
40,1,2,0,1,1,0,2,0,2,0,1,2,1,1
41,1,2,0,1,1,0,2,0,2,0,1,2,1,1
42,1,2,0,1,1,0,2,0,2,0,1,2,1,1
43,1,2,0,1,1,0,2,0,2,0,1,2,1,1
44,1,2,0,1,1,0,2,0,2,0,1,2,1,1
45,1,2,0,1,1,0,2,0,2,0,1,2,1,1
46,1,2,0,1,1,0,2,0,2,0,1,2,1,1
47,1,2,0,1,1,0,2,0,2,0,1,2,1,1
48,1,2,0,1,1,0,2,0,2,0,1,2,1,1
49,1,2,0,1,1,0,2,0,2,0,1,2,1,1
50,1,2,0,1,1,0,2,0,2,0,1,2,1,1
51,1,2,0,1,1,0,2,0,2,0,1,2,1,1
52,0,2,0,1,1,0,2,0,2,0,1,2,0,1
53,0,2,0,1,1,0,2,0,2,0,1,2,0,1
54,0,2,0,2,1,0,2,0,2,0,1,3,0,1
55,0,2,0,2,1,0,2,0,2,0,1,3,0,1
56,0,2,0,2,1,0,2,0,2,0,1,3,0,1
57,0,2,0,2,1,0,2,0,2,0,1,3,0,1
58,0,2,0,2,1,0,2,0,2,0,1,3,0,1
59,0,2,0,2,1,0,2,0,2,0,1,3,0,1
60,0,2,0,2,1,0,2,0,2,0,1,3,0,1
61,0,2,0,2,1,0,2,0,2,0,1,3,0,1
62,0,2,0,2,1,0,2,0,2,0,1,3,0,1
63,0,2,0,2,1,0,2,0,2,0,1,3,0,1
64,0,2,0,2,1,0,2,0,2,0,1,3,0,1
65,0,2,0,2,1,0,2,0,2,0,1,3,0,1
66,0,2,0,2,1,0,2,0,2,0,1,3,0,1
67,0,2,0,2,1,0,2,0,2,0,1,3,0,1
68,0,2,0,2,1,0,2,0,2,0,1,3,0,1
69,0,2,0,2,1,0,2,0,2,0,1,3,0,1
70,0,2,0,2,1,0,2,0,2,0,1,3,0,1
71,0,2,0,2,1,0,2,0,2,0,1,3,0,1
72,0,2,0,2,1,0,2,0,2,0,1,3,0,1
73,0,2,0,2,1,0,2,0,2,0,1,3,0,1
74,0,2,0,2,1,0,2,0,2,0,1,3,0,1
75,0,2,0,2,1,0,2,0,2,0,1,3,0,1
76,0,2,0,2,1,0,2,0,2,0,1,3,0,1
77,0,2,0,2,1,0,2,0,2,0,1,3,0,1
78,0,2,0,2,1,0,2,0,2,0,1,3,0,1
79,0,2,0,2,1,0,2,0,2,0,1,3,0,1
80,0,2,0,2,1,0,2,0,2,0,1,3,0,1
81,0,2,0,2,1,0,2,0,2,0,1,3,0,1
82,0,2,0,2,1,0,2,0,2,0,1,3,0,1
83,0,2,0,2,1,0,2,0,2,0,1,3,0,1
84,0,2,0,2,1,0,2,0,2,0,1,3,0,1
85,0,2,0,2,1,0,2,0,2,0,1,3,0,1
86,0,2,0,2,1,0,2,0,2,0,1,3,0,1
87,0,2,0,2,1,0,2,0,2,0,1,3,0,1
88,0,2,0,2,1,0,2,0,2,0,1,3,0,1
89,0,2,0,2,1,0,2,0,2,0,1,3,0,1
90,0,1,0,1,0,0,0,0,1,0,0,2,0,0
91,0,1,0,1,0,0,0,0,1,0,0,2,0,0
92,0,1,0,1,0,0,0,0,1,0,0,2,0,0
93,1,1,1,1,0,0,0,0,0,0,0,1,2,0
94,1,1,1,1,0,0,1,0,0,0,0,1,2,1
95,1,1,1,1,0,0,1,0,0,0,0,1,2,1
96,2,1,1,1,0,0,1,0,0,0,0,1,2,1
97,2,1,1,1,0,1,1,1,1,0,0,1,2,1
98,2,1,1,1,0,1,1,1,1,0,0,1,2,1
99,2,1,1,1,0,1,1,1,1,0,0,1,2,1
100,2,1,1,1,0,1,1,1,1,0,0,1,2,1
101,2,1,1,1,0,1,1,2,1,0,0,1,2,1
102,2,1,1,1,0,1,1,2,1,0,0,1,2,1
103,2,1,1,1,0,1,1,2,1,0,0,1,2,1
104,2,1,1,1,0,1,1,2,1,0,0,1,2,1
105,2,1,1,0,0,1,1,2,1,0,0,0,2,1
106,2,1,1,0,0,1,1,2,1,0,0,0,2,1
107,2,1,1,0,0,1,1,2,1,0,0,0,2,1
108,2,1,1,0,0,1,1,2,1,1,0,0,2,1
109,2,1,1,0,0,1,1,2,2,1,0,0,2,1
110,2,1,1,0,0,1,1,2,2,1,0,0,2,1
111,2,1,1,0,0,1,1,2,2,1,0,0,2,1
112,2,1,1,0,0,1,1,2,2,1,0,0,2,1
113,2,1,1,0,0,1,1,2,2,1,0,0,2,1
114,2,1,1,0,0,1,1,2,2,1,0,0,2,1
115,2,1,1,0,0,1,1,2,2,1,0,0,2,1
116,2,1,1,0,0,1,1,2,2,1,0,0,2,1
117,2,1,1,0,0,1,1,2,2,1,0,0,2,1
118,2,1,1,0,0,1,1,2,2,1,0,0,2,1
119,2,1,1,0,0,1,1,2,2,1,0,0,2,1
120,2,1,1,0,0,1,1,2,2,1,0,0,2,1
121,2,1,1,0,0,1,1,2,2,1,0,0,2,1
122,2,1,1,0,0,1,1,2,2,1,0,0,2,1
123,2,1,1,0,0,1,1,2,2,1,0,0,2,1
124,2,1,1,0,0,1,1,2,2,1,0,0,2,1
125,2,1,1,0,0,1,1,2,2,1,0,0,2,1
126,2,1,1,0,0,1,1,2,2,1,0,0,2,1
127,2,1,1,0,0,1,1,2,2,1,0,0,2,1
128,2,1,1,0,0,1,1,2,2,1,0,0,2,1
129,2,1,1,0,0,1,1,2,2,1,0,0,2,1
130,2,1,1,0,0,1,1,2,2,1,0,0,2,1
131,2,1,1,0,0,1,1,2,2,1,0,0,2,1
132,2,1,1,0,0,1,1,2,2,1,0,0,2,1
133,2,1,1,0,0,1,1,2,2,1,0,0,2,1
134,2,1,1,0,0,1,1,2,2,1,0,0,2,1
135,2,1,1,0,0,1,1,2,2,1,0,0,2,1
136,2,1,1,0,0,1,1,2,2,1,0,0,2,1
137,2,1,1,0,0,1,1,2,2,1,0,0,2,1
138,2,1,1,0,0,1,1,2,2,1,0,0,2,1
139,2,1,1,0,0,1,1,2,2,1,0,0,2,1
140,2,1,1,0,0,1,1,2,2,1,0,0,2,1
141,2,1,1,0,0,1,1,2,2,1,0,0,2,1
142,2,1,1,0,0,1,1,2,2,1,0,0,2,1
143,2,1,1,0,0,1,1,2,2,1,0,0,2,1
144,2,1,1,0,0,1,1,2,2,1,0,0,2,1
145,2,0,1,0,0,1,0,2,2,1,0,0,2,0
146,2,0,1,0,0,1,0,2,2,1,0,0,2,0
147,2,0,1,0,0,1,0,2,2,1,0,0,2,0
148,2,0,1,0,0,1,0,2,1,1,0,0,3,0
149,2,0,1,0,0,1,0,2,1,1,0,0,3,0
150,2,0,1,0,0,1,0,2,1,1,0,0,3,0
151,3,0,1,0,0,1,0,2,1,1,0,0,3,0
152,3,0,1,0,0,2,0,3,1,1,0,0,3,0
153,3,0,1,0,0,2,0,3,1,1,0,0,3,0
154,3,0,1,0,0,2,0,3,1,1,0,0,3,0
155,3,0,1,0,0,2,0,3,1,1,0,0,3,0
156,3,0,1,0,0,2,0,3,1,1,0,0,3,0
157,3,0,1,0,0,2,0,3,1,1,0,0,3,0
158,3,0,1,0,0,2,0,3,1,1,0,0,3,0
159,3,0,1,0,0,2,0,3,1,1,0,0,3,0
160,3,0,1,0,0,2,0,3,0,1,0,0,3,0
161,3,0,1,0,0,2,0,3,0,1,0,0,3,0
162,3,0,1,0,0,2,0,3,0,1,0,0,3,0
163,4,0,1,0,0,2,0,3,0,1,0,0,3,0
164,4,0,1,0,0,2,0,3,0,1,0,0,3,0
165,4,0,1,0,0,2,0,3,0,1,0,0,3,0
166,4,0,1,0,0,2,0,3,0,1,0,0,3,0
167,4,0,1,0,0,2,0,3,0,1,0,0,3,0
168,4,0,1,0,0,2,0,3,0,1,0,0,3,0
169,4,0,1,0,0,2,0,3,0,1,0,0,3,0
170,4,0,1,0,0,2,0,3,0,1,0,0,3,0
171,4,0,1,0,0,2,0,3,0,1,0,0,3,0
172,4,0,1,0,0,2,0,3,0,1,0,0,3,0
173,4,0,1,0,0,2,0,3,0,1,0,0,3,0
174,4,0,1,0,0,2,0,3,0,1,0,0,3,0
175,4,0,1,0,0,2,0,3,0,1,0,0,3,0
176,4,0,1,0,0,2,0,3,0,1,0,0,3,0
177,4,0,1,0,0,2,0,3,0,1,0,0,3,0
178,4,0,1,0,0,2,0,3,0,1,0,0,3,0
179,4,0,1,0,0,2,0,3,0,1,0,0,3,0
180,4,0,1,0,0,2,0,3,0,1,0,0,3,0
181,4,0,1,0,0,2,0,3,0,1,0,0,3,0
182,4,0,1,0,0,2,0,3,0,1,0,0,3,0
183,4,0,1,0,0,2,0,3,0,1,0,0,3,0
184,4,0,1,0,0,2,0,3,0,1,0,0,3,0
185,4,0,1,0,0,2,0,3,0,1,0,0,3,0
186,4,0,1,0,0,2,0,3,0,1,0,0,3,0
187,4,0,1,0,0,2,0,3,0,1,0,0,3,0
188,4,0,1,0,0,2,0,3,0,1,0,0,3,0
189,4,0,1,0,0,2,0,3,0,1,0,0,3,0
190,3,0,0,0,0,1,0,2,0,0,0,0,1,0
191,3,0,0,0,0,1,0,2,0,0,0,0,1,0
192,3,0,0,1,0,1,0,2,0,0,0,2,1,0
193,2,0,0,1,0,1,0,2,0,0,0,2,1,0
194,2,0,0,1,0,1,0,1,0,0,0,2,1,0
195,2,0,0,2,0,1,0,1,0,0,0,2,1,0
196,2,1,0,2,1,1,0,1,0,0,1,2,1,1
197,2,1,0,2,1,1,0,1,0,0,1,2,1,1
198,2,1,0,2,1,1,0,1,0,0,1,2,0,1
199,2,1,0,2,1,1,0,1,0,0,1,2,0,1
200,2,1,0,2,1,1,0,1,0,0,2,3,0,1
201,1,1,0,2,1,1,0,1,0,0,2,3,0,1
202,1,1,0,2,1,0,0,0,0,0,2,3,0,1
203,1,1,0,3,1,0,0,0,0,0,2,3,0,1
204,1,1,0,3,1,0,0,0,0,0,2,3,0,1
205,1,1,0,3,1,0,0,0,0,0,2,3,0,1
206,1,1,0,3,1,0,0,0,0,0,2,3,0,1
207,1,1,0,3,1,0,0,0,0,0,2,3,0,1
208,1,1,0,3,1,0,0,0,0,0,2,3,0,1
209,1,1,0,3,2,0,0,0,0,0,3,3,0,1
210,1,1,0,3,2,0,0,0,0,0,3,3,0,1
211,1,1,0,3,2,0,0,0,0,0,3,3,0,1
212,1,1,0,3,2,0,0,0,0,0,3,3,0,1
213,0,1,0,3,2,0,0,0,0,0,3,3,0,1
214,0,1,0,3,2,0,0,0,0,0,3,3,0,1
215,0,1,0,4,2,0,0,0,0,0,3,3,0,1
216,0,1,0,4,2,0,0,0,0,0,3,3,0,1
217,0,1,0,4,2,0,0,0,0,0,3,3,0,1
218,0,1,0,4,2,0,0,0,0,0,3,3,0,1
219,0,1,0,4,2,0,0,0,0,0,3,3,0,1
220,0,1,0,4,2,0,0,0,0,0,3,3,0,1
221,0,1,0,4,2,0,0,0,0,0,3,3,0,1
222,0,1,0,4,2,0,0,0,0,0,3,3,0,1
223,0,1,0,4,2,0,0,0,0,0,3,3,0,1
224,0,1,0,4,2,0,0,0,0,0,3,3,0,1
225,0,1,0,4,2,0,0,0,0,0,3,3,0,1
226,0,1,0,4,2,0,0,0,0,0,3,3,0,1
227,0,1,0,4,2,0,0,0,0,0,3,3,0,1
228,0,1,0,4,2,0,0,0,0,0,3,3,0,1
229,0,1,0,4,2,0,0,0,0,0,3,3,0,1
230,0,1,0,4,2,0,0,0,0,0,3,3,0,1
231,0,1,0,4,2,0,0,0,0,0,3,3,0,1
232,0,1,0,4,2,0,0,0,0,0,3,3,0,1
233,0,1,0,4,2,0,0,0,0,0,3,3,0,1
234,0,1,0,4,2,0,0,0,0,0,3,3,0,1
235,0,1,0,4,2,0,0,0,0,0,3,3,0,1
236,0,1,0,4,2,0,0,0,0,0,3,3,0,1
237,0,1,0,4,2,0,0,0,0,0,3,3,0,1
238,0,1,0,4,2,0,0,0,0,0,3,3,0,1
239,0,1,0,4,2,0,0,0,0,0,3,3,0,1
240,0,1,0,4,2,0,0,0,0,0,3,3,0,1
241,0,1,0,4,2,0,0,0,0,0,3,3,0,1
242,0,1,0,4,2,0,0,0,0,0,3,3,0,1
243,0,1,0,3,2,0,0,0,0,0,3,1,0,1
244,0,1,0,3,2,0,0,0,0,0,3,1,0,1
245,0,1,0,3,2,0,0,0,0,0,3,1,0,1
246,0,1,1,3,2,0,0,0,0,1,3,1,0,1
247,0,0,1,3,1,0,0,0,1,1,2,1,0,0
248,0,0,1,2,1,0,0,0,1,1,2,1,0,0
249,0,0,1,2,1,0,0,0,1,1,2,1,0,0
250,0,0,1,2,1,0,0,0,1,1,2,1,0,0
251,0,1,1,2,1,0,0,0,1,2,2,0,0,0
252,0,1,1,2,1,0,0,0,1,2,1,0,0,0
253,0,1,1,2,1,0,0,0,1,2,1,0,0,0
254,0,1,2,1,1,1,0,1,1,2,1,0,0,0
255,0,1,2,1,1,1,0,1,1,2,1,0,0,0
256,0,1,2,1,1,1,0,1,1,2,1,0,0,0
257,0,1,3,1,1,1,0,1,1,3,1,0,0,0
258,0,1,3,1,1,1,0,1,1,3,1,0,0,0
259,0,1,3,1,0,1,0,1,1,3,1,0,0,0
260,0,1,3,1,0,1,0,1,1,3,0,0,0,0
261,0,1,3,1,0,1,0,1,1,3,0,0,0,0
262,0,1,4,1,0,1,0,1,1,3,0,0,0,0
263,0,1,4,1,0,1,0,1,1,3,0,0,0,0
264,0,2,4,1,0,1,0,1,1,3,0,0,0,0
265,0,2,4,1,0,1,0,1,1,3,0,0,0,0
266,0,2,4,0,0,1,0,1,1,3,0,0,0,0
267,0,2,5,0,0,1,0,1,1,3,0,0,0,0
268,0,2,5,0,0,1,0,1,1,3,0,0,0,0
269,0,2,5,0,0,1,0,1,1,4,0,0,0,0
