step,0numUD,0ave_vUD,0numRL,0ave_vRL,1numUD,1ave_vUD,1numRL,1ave_vRL,2numUD,2ave_vUD,2numRL,2ave_vRL,3numUD,3ave_vUD,3numRL,3ave_vRL,4numUD,4ave_vUD,4numRL,4ave_vRL,5numUD,5ave_vUD,5numRL,5ave_vRL
0,10,0.0,12,0.0,8,0.0,18,0.0,24,0.0,9,0.0,8,0.0,8,0.0,14,0.0,22,0.0,20,0.0,11,0.0
1,9,1.0,0,0.0,8,1.0,0,0.0,24,1.0,0,0.0,7,1.0,0,0.0,14,1.0,0,0.0,20,1.0,0,0.0
2,9,1.0,0,0.0,8,1.0,0,0.0,23,1.0,0,0.0,7,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0
3,9,1.0,0,0.0,8,1.0,0,0.0,23,1.0,0,0.0,7,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0
4,9,1.0,0,0.0,8,1.0,0,0.0,23,1.0,0,0.0,7,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0
5,9,1.0,0,0.0,8,1.0,0,0.0,23,1.0,0,0.0,7,1.0,0,0.0,13,1.0,0,0.0,20,1.0,0,0.0
6,9,1.0,0,0.0,7,1.0,0,0.0,22,1.0,0,0.0,7,1.0,0,0.0,12,1.0,0,0.0,19,1.0,0,0.0
7,9,1.0,0,0.0,7,1.0,0,0.0,22,1.0,0,0.0,7,1.0,0,0.0,12,1.0,0,0.0,19,1.0,0,0.0
8,9,1.0,0,0.0,7,1.0,0,0.0,22,1.0,0,0.0,7,1.0,0,0.0,12,1.0,0,0.0,19,1.0,0,0.0
9,9,1.0,0,0.0,7,1.0,0,0.0,22,1.0,0,0.0,7,1.0,0,0.0,12,1.0,0,0.0,19,1.0,0,0.0
10,9,1.0,0,0.0,6,1.0,0,0.0,22,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
11,8,1.0,0,0.0,6,1.0,0,0.0,21,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
12,8,1.0,0,0.0,6,1.0,0,0.0,21,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
13,8,1.0,0,0.0,6,1.0,0,0.0,21,1.0,0,0.0,6,1.0,0,0.0,11,1.0,0,0.0,18,1.0,0,0.0
14,8,1.0,0,0.0,6,1.0,0,0.0,21,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,18,1.0,0,0.0
15,8,1.0,0,0.0,5,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
16,8,1.0,0,0.0,5,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
17,8,1.0,0,0.0,5,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
18,8,1.0,0,0.0,5,1.0,0,0.0,20,1.0,0,0.0,6,1.0,0,0.0,10,1.0,0,0.0,17,1.0,0,0.0
19,8,1.0,0,0.0,4,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
20,8,1.0,0,0.0,4,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
21,8,1.0,0,0.0,4,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
22,8,1.0,0,0.0,4,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,9,1.0,0,0.0,16,1.0,0,0.0
23,7,1.0,0,0.0,4,1.0,0,0.0,19,1.0,0,0.0,6,1.0,0,0.0,8,1.0,0,0.0,16,1.0,0,0.0
24,7,1.0,0,0.0,3,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,8,1.0,0,0.0,15,1.0,0,0.0
25,7,1.0,0,0.0,3,1.0,0,0.0,18,1.0,0,0.0,6,1.0,0,0.0,8,1.0,0,0.0,15,1.0,0,0.0
